,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,939.0875100999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,4.1019997,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.525,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.861,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,164.8857674,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,1109.4612771999998,0,2001,Year,RAND AFRIKAANS UNIVERSITY,1.0 Instruction,TOTAL             08
8,71.70417,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.91,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.32,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.46,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,2.386485,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,76.78065499999998,0,2001,Year,RAND AFRIKAANS UNIVERSITY,2.0 Research ,TOTAL             08
16,7.7898199999999935,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,1.75,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.5802,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.011,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,21.411559999999998,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,31.54257999999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,3.0 Public Service,TOTAL             08
24,55.27175499999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,8.987,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,31.101799999999997,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,43.4025,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,596.3266399999997,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,8.014,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,36.1978,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,779.3014949999997,0,2001,Year,RAND AFRIKAANS UNIVERSITY,4.0 Academic Support,TOTAL             08
32,0.6210620000000001,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,3.5,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,10.509,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,172.04226000000006,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,3.548,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,SERVICE EMPLOYEES    07
39,190.22032200000007,0,2001,Year,RAND AFRIKAANS UNIVERSITY,5.0 Student Services,TOTAL             08
40,4.395665000000001,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,16.165,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,9.686,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,6.3875,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,202.04028699999998,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,81.35119999999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,320.0256519999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,6.0 Institutional Support,TOTAL             08
48,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,2.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,0.0,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,13.370999999999999,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,11.482,0,2001,Year,RAND AFRIKAANS UNIVERSITY,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
