,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,183.86,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.28,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.48,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.5,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,1.0,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,186.12,0,2001,Year,RHODES UNIVERSITY,1.0 Instruction,TOTAL             08
8,81.75,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.77,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.58,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.7,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,84.8,0,2001,Year,RHODES UNIVERSITY,2.0 Research ,TOTAL             08
16,7.82,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.1,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.1,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,8.02,0,2001,Year,RHODES UNIVERSITY,3.0 Public Service,TOTAL             08
24,22.83,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,3.05,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,27.35,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,51.8,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,104.0,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,1.0,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,15.5,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,225.53,0,2001,Year,RHODES UNIVERSITY,4.0 Academic Support,TOTAL             08
32,5.17,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,3.05,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,1.1,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,SPEC/ SUPP PROF  03
35,3.0,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,6.0,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,2.0,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,SERVICE EMPLOYEES    07
39,20.32,0,2001,Year,RHODES UNIVERSITY,5.0 Student Services,TOTAL             08
