,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,179.6178529999999,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,3.7307750000000004,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,4.775499799999999,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.852,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,SERVICE EMPLOYEES    07
7,188.97612779999992,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,1.0 Instruction,TOTAL             08
8,51.958852999999976,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.9624599999999999,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,3.7535,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,SPEC/ SUPP PROF  03
11,0.475,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,SERVICE EMPLOYEES    07
15,58.14981299999998,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,2.0 Research ,TOTAL             08
16,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,1.984,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,SERVICE EMPLOYEES    07
23,1.984,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,3.0 Public Service,TOTAL             08
24,156.30165899999992,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,18.207725,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,181.67150000000188,0,2001,Year,UNIVERSITY OF DURBAN-WESTVILLE,4.0 Academic Support,SPEC/ SUPP PROF  03
