,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,617.8706941000004,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.1,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,3.4800699999999996,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,SPEC/ SUPP PROF  03
3,8.997069999999995,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,5.44802,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.07,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,SERVICE EMPLOYEES    07
7,636.9658541000005,0,2001,Year,UNIVERSITY OF NATAL,1.0 Instruction,TOTAL             08
8,299.62339,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.8318,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,SPEC/ SUPP PROF  03
11,2.2244,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,TECHNICAL EMPLOYEES    04
12,2.6832000000000003,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,SERVICE EMPLOYEES    07
15,305.36278999999996,0,2001,Year,UNIVERSITY OF NATAL,2.0 Research ,TOTAL             08
16,28.10199999999998,0,2001,Year,UNIVERSITY OF NATAL,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,1.29,0,2001,Year,UNIVERSITY OF NATAL,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,8.111419999999999,0,2001,Year,UNIVERSITY OF NATAL,3.0 Public Service,SPEC/ SUPP PROF  03
19,3.738999999999999,0,2001,Year,UNIVERSITY OF NATAL,3.0 Public Service,TECHNICAL EMPLOYEES    04
