,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,653.0635920000003,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.6,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.47,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,1.0435500000000002,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,SERVICE EMPLOYEES    07
7,657.1771420000003,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,1.0 Instruction,TOTAL             08
8,237.32487999999998,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,2.14,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,5.0439,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.68,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,SERVICE EMPLOYEES    07
15,246.18877999999998,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,2.0 Research ,TOTAL             08
16,17.41528999999999,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,1.95,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,1.96,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,1.73,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,SERVICE EMPLOYEES    07
23,23.055289999999992,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,3.0 Public Service,TOTAL             08
24,212.31167,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,6.6515,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,226.65660000000003,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,SPEC/ SUPP PROF  03
27,9.39,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,306.8331900000001,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,63.45199999999999,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,29.902,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,SERVICE EMPLOYEES    07
31,855.1969600000001,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,4.0 Academic Support,TOTAL             08
32,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,1.33,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,18.218,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,22.048000000000005,0,2001,Year,UNIVERSITY OF SOUTH AFRICA,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
