,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,569.39,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,3.435,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.23,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.374,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,9.777999999999999,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,SERVICE EMPLOYEES    07
7,583.2069999999997,0,2001,Year,UNIVERSITY OF STELLENBOSCH,1.0 Instruction,TOTAL             08
8,489.2069999999999,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.1520000000000006,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,3.34,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,SPEC/ SUPP PROF  03
11,1.892,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.2,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,SERVICE EMPLOYEES    07
15,498.7909999999998,0,2001,Year,UNIVERSITY OF STELLENBOSCH,2.0 Research ,TOTAL             08
16,6.531,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,4.864000000000001,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,3.47,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,SPEC/ SUPP PROF  03
19,1.635,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,7.588999999999998,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,1.881,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,SERVICE EMPLOYEES    07
23,25.97,0,2001,Year,UNIVERSITY OF STELLENBOSCH,3.0 Public Service,TOTAL             08
24,117.155,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,27.908999999999992,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,58.955,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,SPEC/ SUPP PROF  03
27,212.255,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,487.63,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,2.333,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,27.242999999999995,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,SERVICE EMPLOYEES    07
31,933.48,0,2001,Year,UNIVERSITY OF STELLENBOSCH,4.0 Academic Support,TOTAL             08
32,0.23,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,5.5,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,15.022000000000002,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,SPEC/ SUPP PROF  03
35,4.806,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,45.93399999999997,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,2.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,SERVICE EMPLOYEES    07
39,73.49199999999996,0,2001,Year,UNIVERSITY OF STELLENBOSCH,5.0 Student Services,TOTAL             08
40,1.525,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,45.94099999999998,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,14.651000000000003,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,35.178999999999995,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,266.95,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,3.0,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,50.362,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,417.60799999999966,0,2001,Year,UNIVERSITY OF STELLENBOSCH,6.0 Institutional Support,TOTAL             08
48,0.012,0,2001,Year,UNIVERSITY OF STELLENBOSCH,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,3.5,0,2001,Year,UNIVERSITY OF STELLENBOSCH,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,2.15,0,2001,Year,UNIVERSITY OF STELLENBOSCH,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
