,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,360.99728590000007,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,4.023,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.05,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,SPEC/ SUPP PROF  03
3,7.3343,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,33.47230000000001,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,SERVICE EMPLOYEES    07
7,406.8768859000001,0,2001,Year,UNIVERSITY OF THE NORTH,1.0 Instruction,TOTAL             08
8,45.82140000000001,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.5,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,SPEC/ SUPP PROF  03
11,4.5762,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.2787000000000002,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,SERVICE EMPLOYEES    07
15,52.17630000000001,0,2001,Year,UNIVERSITY OF THE NORTH,2.0 Research ,TOTAL             08
16,4.044700000000001,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.1,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.05,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,2.052,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,3.0,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,SERVICE EMPLOYEES    07
23,9.2467,0,2001,Year,UNIVERSITY OF THE NORTH,3.0 Public Service,TOTAL             08
24,29.362090000000002,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,1.9,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,28.042,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,SPEC/ SUPP PROF  03
27,11.0775,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,60.835,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,1.329,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,0.0,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,SERVICE EMPLOYEES    07
31,132.54559,0,2001,Year,UNIVERSITY OF THE NORTH,4.0 Academic Support,TOTAL             08
32,2.032,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,2.0,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,8.425,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,SPEC/ SUPP PROF  03
35,2.0,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,48.4,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,1.0,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,4.0,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,SERVICE EMPLOYEES    07
39,67.857,0,2001,Year,UNIVERSITY OF THE NORTH,5.0 Student Services,TOTAL             08
40,8.586499999999997,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,10.786,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,4.3340000000000005,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,9.147,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,196.737,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,3.329,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,43.478,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,276.3975,0,2001,Year,UNIVERSITY OF THE NORTH,6.0 Institutional Support,TOTAL             08
48,5.131,0,2001,Year,UNIVERSITY OF THE NORTH,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,1.661,0,2001,Year,UNIVERSITY OF THE NORTH,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.0,0,2001,Year,UNIVERSITY OF THE NORTH,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,28.683000000000003,0,2001,Year,UNIVERSITY OF THE NORTH,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
