,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,170.13719410000004,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.63,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.22,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,SPEC/ SUPP PROF  03
3,1.625,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,1.1463332,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,SERVICE EMPLOYEES    07
7,173.75852730000003,0,2001,Year,UNIVERSITY OF VENDA,1.0 Instruction,TOTAL             08
8,30.44288500000001,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.12,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.1,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.1,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,SERVICE EMPLOYEES    07
15,30.762885000000015,0,2001,Year,UNIVERSITY OF VENDA,2.0 Research ,TOTAL             08
16,5.736864999999995,0,2001,Year,UNIVERSITY OF VENDA,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.03,0,2001,Year,UNIVERSITY OF VENDA,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.15,0,2001,Year,UNIVERSITY OF VENDA,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2001,Year,UNIVERSITY OF VENDA,3.0 Public Service,TECHNICAL EMPLOYEES    04
