,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,191.05,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,SERVICE EMPLOYEES    07
7,191.05,0,2001,Year,UNIVERSITY OF ZULULAND,1.0 Instruction,TOTAL             08
8,39.26,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,SERVICE EMPLOYEES    07
15,39.26,0,2001,Year,UNIVERSITY OF ZULULAND,2.0 Research ,TOTAL             08
16,5.8499999999999925,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,3.0,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,2.25,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,SERVICE EMPLOYEES    07
23,11.1,0,2001,Year,UNIVERSITY OF ZULULAND,3.0 Public Service,TOTAL             08
24,28.77,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,1.0,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,10.0,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,SPEC/ SUPP PROF  03
27,19.749997999999998,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,50.666664999999995,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,33.749999,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,SERVICE EMPLOYEES    07
31,143.936662,0,2001,Year,UNIVERSITY OF ZULULAND,4.0 Academic Support,TOTAL             08
32,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,2.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,SPEC/ SUPP PROF  03
35,2.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,3.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,SERVICE EMPLOYEES    07
39,7.0,0,2001,Year,UNIVERSITY OF ZULULAND,5.0 Student Services,TOTAL             08
40,4.02,0,2001,Year,UNIVERSITY OF ZULULAND,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,14.666666,0,2001,Year,UNIVERSITY OF ZULULAND,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
