,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,8229.5948559,0,2002,Year,NATIONAL,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,44.4670366,0,2002,Year,NATIONAL,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,86.9865528,0,2002,Year,NATIONAL,1.0 Instruction,SPEC/ SUPP PROF  03
3,71.47383799999999,0,2002,Year,NATIONAL,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,117.757471,0,2002,Year,NATIONAL,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,NATIONAL,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,3.7647690000000003,0,2002,Year,NATIONAL,1.0 Instruction,SERVICE EMPLOYEES    07
7,8554.044523299997,0,2002,Year,NATIONAL,1.0 Instruction,TOTAL             08
8,3063.1501700000013,0,2002,Year,NATIONAL,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,26.526954000000007,0,2002,Year,NATIONAL,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,53.912705999999986,0,2002,Year,NATIONAL,2.0 Research ,SPEC/ SUPP PROF  03
11,88.42505699999995,0,2002,Year,NATIONAL,2.0 Research ,TECHNICAL EMPLOYEES    04
12,152.80264699999987,0,2002,Year,NATIONAL,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,NATIONAL,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,5.176304999999999,0,2002,Year,NATIONAL,2.0 Research ,SERVICE EMPLOYEES    07
15,3389.993839,0,2002,Year,NATIONAL,2.0 Research ,TOTAL             08
16,325.7336419999999,0,2002,Year,NATIONAL,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,28.436304,0,2002,Year,NATIONAL,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,131.94899799999996,0,2002,Year,NATIONAL,3.0 Public Service,SPEC/ SUPP PROF  03
19,33.887859000000006,0,2002,Year,NATIONAL,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,247.1783250000002,0,2002,Year,NATIONAL,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.2,0,2002,Year,NATIONAL,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,10.916129999999999,0,2002,Year,NATIONAL,3.0 Public Service,SERVICE EMPLOYEES    07
23,778.3012580000002,0,2002,Year,NATIONAL,3.0 Public Service,TOTAL             08
24,2528.605025999998,0,2002,Year,NATIONAL,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,221.72133700000003,0,2002,Year,NATIONAL,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,1248.8223719999937,0,2002,Year,NATIONAL,4.0 Academic Support,SPEC/ SUPP PROF  03
27,1787.404361999998,0,2002,Year,NATIONAL,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,5399.367680999997,0,2002,Year,NATIONAL,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,95.53709999999995,0,2002,Year,NATIONAL,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,868.0752000000002,0,2002,Year,NATIONAL,4.0 Academic Support,SERVICE EMPLOYEES    07
31,12149.533077999982,0,2002,Year,NATIONAL,4.0 Academic Support,TOTAL             08
32,49.536767999999995,0,2002,Year,NATIONAL,5.0 Student Services,INSTR/ RESEARCH  PROF   01
