,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,347.22832899999975,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.8584400000000001,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.7,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.266,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,1.125,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,351.1777689999997,0,2002,Year,POTCHEFSTROOM UNIVERSITY,1.0 Instruction,TOTAL             08
8,154.462268,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,2.81,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,1.6,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,4.26824,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.145075,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,163.28558299999997,0,2002,Year,POTCHEFSTROOM UNIVERSITY,2.0 Research ,TOTAL             08
16,42.98389199999996,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,8.632435000000001,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,90.43627099999989,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,24.689867,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,132.27807600000003,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.2,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,4.371499999999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,303.5920409999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,3.0 Public Service,TOTAL             08
24,100.17381599999995,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,19.314164999999996,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,58.397533,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,57.59419300000001,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,210.0347949999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.496,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,48.200333,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,494.21083499999986,0,2002,Year,POTCHEFSTROOM UNIVERSITY,4.0 Academic Support,TOTAL             08
32,0.6014999999999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,4.55,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,8.609399999999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,19.827416999999997,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,10.414,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,SERVICE EMPLOYEES    07
39,44.002317,0,2002,Year,POTCHEFSTROOM UNIVERSITY,5.0 Student Services,TOTAL             08
40,0.15,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,27.1276,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,39.1648,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,18.8623,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,149.34032700000003,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,72.04,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,306.68502700000005,0,2002,Year,POTCHEFSTROOM UNIVERSITY,6.0 Institutional Support,TOTAL             08
48,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,1.7734400000000001,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,6.1875,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,6.2575,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,10.9,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,24.2405,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,50.358940000000004,0,2002,Year,POTCHEFSTROOM UNIVERSITY,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,1.4034200000000001,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,3.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,4.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,56.00699999999999,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,7.4,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,152.81758299999998,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,224.62800299999998,0,2002,Year,POTCHEFSTROOM UNIVERSITY,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2002,Year,POTCHEFSTROOM UNIVERSITY,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
