,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,174.72844919999815,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.2,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,3.6929999999999996,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,SPEC/ SUPP PROF  03
3,1.64,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,2.2074,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.01,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,SERVICE EMPLOYEES    07
7,183.47884919999814,0,2002,Year,TECHNIKON FREE STATE,1.0 Instruction,TOTAL             08
8,16.72588,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.49,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.6337999999999999,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,SPEC/ SUPP PROF  03
11,0.86,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.24080000000000001,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,SERVICE EMPLOYEES    07
15,19.95048,0,2002,Year,TECHNIKON FREE STATE,2.0 Research ,TOTAL             08
16,1.7425900000000007,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.72,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,1.2519,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,SPEC/ SUPP PROF  03
19,1.3765,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.23320000000000002,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,SERVICE EMPLOYEES    07
23,5.324190000000001,0,2002,Year,TECHNIKON FREE STATE,3.0 Public Service,TOTAL             08
24,32.27658,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,12.47,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,19.11145,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,SPEC/ SUPP PROF  03
27,8.9545,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,68.92000000000013,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,9.509,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,SERVICE EMPLOYEES    07
31,151.24153000000013,0,2002,Year,TECHNIKON FREE STATE,4.0 Academic Support,TOTAL             08
32,2.0895,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,1.12,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,7.53,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,5.63,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.0,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,SERVICE EMPLOYEES    07
39,16.369499999999995,0,2002,Year,TECHNIKON FREE STATE,5.0 Student Services,TOTAL             08
40,3.0029999999999997,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,28.302999999999997,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,28.51485,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,1.927,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,66.46460000000002,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,1.022,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,44.47699999999962,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,173.71144999999962,0,2002,Year,TECHNIKON FREE STATE,6.0 Institutional Support,TOTAL             08
48,0.05,0,2002,Year,TECHNIKON FREE STATE,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.49,0,2002,Year,TECHNIKON FREE STATE,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.55,0,2002,Year,TECHNIKON FREE STATE,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,0.0,0,2002,Year,TECHNIKON FREE STATE,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,0.25,0,2002,Year,TECHNIKON FREE STATE,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
