,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,292.7765863999983,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,3.095,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.1,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,SPEC/ SUPP PROF  03
3,3.503,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,24.742350000000027,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,SERVICE EMPLOYEES    07
7,325.21693639999836,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,1.0 Instruction,TOTAL             08
8,46.49298,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.21,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,1.9,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,TECHNICAL EMPLOYEES    04
12,2.0280000000000005,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,SERVICE EMPLOYEES    07
15,50.63098,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,2.0 Research ,TOTAL             08
16,17.195369999999997,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,1.122,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.008,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,30.286659999999994,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,2.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,SERVICE EMPLOYEES    07
23,50.61202999999999,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,3.0 Public Service,TOTAL             08
24,63.37180000000002,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,7.553000000000001,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,23.989,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,SPEC/ SUPP PROF  03
27,33.481,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,133.19985999999994,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,6.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,24.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,SERVICE EMPLOYEES    07
31,291.59466,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,4.0 Academic Support,TOTAL             08
32,5.669039999999998,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,2.6719999999999997,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,11.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,SPEC/ SUPP PROF  03
35,1.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,24.618280000000006,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,1.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,SERVICE EMPLOYEES    07
39,45.959320000000005,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,5.0 Student Services,TOTAL             08
40,2.7802199999999995,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,11.653,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,11.247,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,4.729,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,104.36875,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,1.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,11.463999999999999,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,147.24197,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,6.0 Institutional Support,TOTAL             08
48,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.731,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,3.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,1.671,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,6.828049999999999,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,25.967000000000002,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,75.348,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,113.54505,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,7.0 Operation and maintenance of plant,TOTAL             08
56,0.178,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,1.32,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,3.67605,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,3.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,37.437,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,45.61105,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,10.0 Hospitals ,TOTAL             08
72,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
73,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,EXEC/ ADMIN / MANAG PROF  02
74,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,SPEC/ SUPP PROF  03
75,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,TECHNICAL EMPLOYEES    04
76,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,NON-PROF ADMIN EMPLOYEES  05 
77,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,CRAFTS / TRADES EMPLOYEES  06
78,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,SERVICE EMPLOYEES    07
79,0.0,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,11.0 Independent Operations,TOTAL             08
80,428.4639963999982,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,12.0 TOTAL,INSTR/ RESEARCH  PROF   01
81,28.356,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,12.0 TOTAL,EXEC/ ADMIN / MANAG PROF  02
82,52.236000000000004,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,12.0 TOTAL,SPEC/ SUPP PROF  03
83,44.392,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,12.0 TOTAL,TECHNICAL EMPLOYEES    04
84,329.74799999999993,0,2002,Year,UNIVERSITY OF PORT ELIZABETH,12.0 TOTAL,NON-PROF ADMIN EMPLOYEES  05 
