,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,276.16699999999963,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,4.1684,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,10.29,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,SPEC/ SUPP PROF  03
3,3.5196,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,4.3638,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,SERVICE EMPLOYEES    07
7,298.5087999999997,0,2002,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,TOTAL             08
8,194.96930000000134,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.0456000000000003,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,7.106399999999999,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,SPEC/ SUPP PROF  03
11,2.3464000000000005,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,TECHNICAL EMPLOYEES    04
12,2.9092,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,SERVICE EMPLOYEES    07
15,210.37690000000134,0,2002,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,TOTAL             08
16,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,SERVICE EMPLOYEES    07
23,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,TOTAL             08
24,105.75769999999964,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,19.125,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,37.89759999999998,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,SPEC/ SUPP PROF  03
27,84.17600000000002,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,306.19099999999895,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,4.4990000000000006,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,10.433,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,SERVICE EMPLOYEES    07
31,568.0792999999986,0,2002,Year,UNIVERSITY OF WESTERN CAPE,4.0 Academic Support,TOTAL             08
32,1.04,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,5.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,3.172,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,SPEC/ SUPP PROF  03
35,2.4130000000000003,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,51.42,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,4.3389999999999995,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,SERVICE EMPLOYEES    07
39,67.384,0,2002,Year,UNIVERSITY OF WESTERN CAPE,5.0 Student Services,TOTAL             08
40,0.753,0,2002,Year,UNIVERSITY OF WESTERN CAPE,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,18.87,0,2002,Year,UNIVERSITY OF WESTERN CAPE,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,4.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,3.0,0,2002,Year,UNIVERSITY OF WESTERN CAPE,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,102.55600000000007,0,2002,Year,UNIVERSITY OF WESTERN CAPE,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
