,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,342.7745631999994,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,2.468,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.9020000000000001,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,SPEC/ SUPP PROF  03
3,6.7249,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,3.51,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,1.791,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,SERVICE EMPLOYEES    07
7,359.1704631999994,0,2002,Year,VAAL TRIANGLE TECHNIKON,1.0 Instruction,TOTAL             08
8,15.220160000000003,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.5,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,SPEC/ SUPP PROF  03
11,1.2414999999999998,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.25,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,SERVICE EMPLOYEES    07
15,17.211660000000002,0,2002,Year,VAAL TRIANGLE TECHNIKON,2.0 Research ,TOTAL             08
16,0.1,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.02,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.3,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,4.218,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,SERVICE EMPLOYEES    07
23,4.638,0,2002,Year,VAAL TRIANGLE TECHNIKON,3.0 Public Service,TOTAL             08
24,39.25650500000001,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,1.31,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,15.901,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,SPEC/ SUPP PROF  03
27,36.66590000000001,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,62.58914999999998,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,1.0,0,2002,Year,VAAL TRIANGLE TECHNIKON,4.0 Academic Support,SERVICE EMPLOYEES    07
