,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,327.6128185000002,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.05178,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,6.448499999999999,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,SPEC/ SUPP PROF  03
3,6.663399999999999,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,4.4254999999999995,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,SERVICE EMPLOYEES    07
7,346.2019985000002,0,2003,Year,CAPE TECHNIKON,1.0 Instruction,TOTAL             08
8,23.816699999999997,0,2003,Year,CAPE TECHNIKON,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.45,0,2003,Year,CAPE TECHNIKON,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,4.933050000000001,0,2003,Year,CAPE TECHNIKON,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,CAPE TECHNIKON,2.0 Research ,TECHNICAL EMPLOYEES    04
12,7.6930000000000005,0,2003,Year,CAPE TECHNIKON,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,CAPE TECHNIKON,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,CAPE TECHNIKON,2.0 Research ,SERVICE EMPLOYEES    07
15,37.89275,0,2003,Year,CAPE TECHNIKON,2.0 Research ,TOTAL             08
16,1.239,0,2003,Year,CAPE TECHNIKON,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.05,0,2003,Year,CAPE TECHNIKON,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.023225,0,2003,Year,CAPE TECHNIKON,3.0 Public Service,SPEC/ SUPP PROF  03
