,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,430.4274288000006,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,8.7829997,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.05,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.8499998999999999,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,SERVICE EMPLOYEES    07
7,440.1104284000006,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,1.0 Instruction,TOTAL             08
8,36.252569999999984,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.85,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.1,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,SERVICE EMPLOYEES    07
15,37.20256999999999,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,2.0 Research ,TOTAL             08
16,8.38456,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,SERVICE EMPLOYEES    07
23,8.38456,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,3.0 Public Service,TOTAL             08
24,114.36937000000012,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,3.9709999999999996,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,30.452,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,126.85549999999999,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,194.34400000000022,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.66,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,13.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,483.6518700000004,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,4.0 Academic Support,TOTAL             08
32,1.063,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,14.361,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,24.959,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,5.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,SERVICE EMPLOYEES    07
39,45.382999999999996,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,5.0 Student Services,TOTAL             08
40,11.084059999999997,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,22.435,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,20.746,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,12.8985,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,163.697,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,9.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,239.86056000000002,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,6.0 Institutional Support,TOTAL             08
48,1.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.162,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,2.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,2.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,11.743,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,16.076999999999998,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,73.088,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,106.07,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,1.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,4.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,13.045,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,1.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,31.162,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,50.207,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,10.0 Hospitals ,TOTAL             08
72,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
73,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,EXEC/ ADMIN / MANAG PROF  02
74,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,SPEC/ SUPP PROF  03
75,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,TECHNICAL EMPLOYEES    04
76,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,NON-PROF ADMIN EMPLOYEES  05 
77,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,CRAFTS / TRADES EMPLOYEES  06
78,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,SERVICE EMPLOYEES    07
79,0.0,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,11.0 Independent Operations,TOTAL             08
80,602.5809888000008,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,INSTR/ RESEARCH  PROF   01
81,37.2009997,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,EXEC/ ADMIN / MANAG PROF  02
82,71.609,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,SPEC/ SUPP PROF  03
83,141.754,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,TECHNICAL EMPLOYEES    04
84,408.73799990000026,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,NON-PROF ADMIN EMPLOYEES  05 
85,17.737,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,CRAFTS / TRADES EMPLOYEES  06
86,131.25,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,SERVICE EMPLOYEES    07
87,1410.869988400001,0,2003,Year,DURBAN INSTITUTE OF TECHNOLOGY,12.0 TOTAL,TOTAL             08
