,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,330.84004959999965,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.21845,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,10.468449999999999,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,SPEC/ SUPP PROF  03
3,3.7385,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,19.85105,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,SERVICE EMPLOYEES    07
7,365.11649959999966,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,1.0 Instruction,TOTAL             08
8,27.780334999999997,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.41615,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,10.00365,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,SPEC/ SUPP PROF  03
11,1.8695,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.84665,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.4,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,SERVICE EMPLOYEES    07
15,42.31628499999999,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,2.0 Research ,TOTAL             08
16,4.183680000000001,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,2.08,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.35,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.00475,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,SERVICE EMPLOYEES    07
23,6.61843,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,3.0 Public Service,TOTAL             08
24,68.44783499999997,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,4.36,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,39.2219,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,SPEC/ SUPP PROF  03
27,12.035,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,147.837,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,3.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,40.4,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,SERVICE EMPLOYEES    07
31,315.301735,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,4.0 Academic Support,TOTAL             08
32,14.661590000000006,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,2.05246,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,2.05,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.5,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,8.082,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,8.0,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,SERVICE EMPLOYEES    07
39,35.346050000000005,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,5.0 Student Services,TOTAL             08
40,9.746789999999999,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,11.28694,0,2003,Year,MEDICAL UNI. OF SOUTH AFRICA,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
