,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,486.1010298000001,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.5999999,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,5.445579800000001,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.8,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,7.820050000000001,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,SERVICE EMPLOYEES    07
7,500.7666595000001,0,2003,Year,PRETORIA TECHNIKON,1.0 Instruction,TOTAL             08
8,64.78603000000004,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.05,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.49,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.81,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,SERVICE EMPLOYEES    07
15,67.13603000000003,0,2003,Year,PRETORIA TECHNIKON,2.0 Research ,TOTAL             08
16,15.159029999999985,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.02,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,1.4940999999999998,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.064,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,SERVICE EMPLOYEES    07
23,16.737129999999986,0,2003,Year,PRETORIA TECHNIKON,3.0 Public Service,TOTAL             08
24,160.12185999999997,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,7.16,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,66.93742,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,SPEC/ SUPP PROF  03
27,16.182000000000002,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,543.54615,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,3.576,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,12.743,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,SERVICE EMPLOYEES    07
31,810.26643,0,2003,Year,PRETORIA TECHNIKON,4.0 Academic Support,TOTAL             08
32,0.098,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,3.0,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,25.553,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,75.9646,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,5.067,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,SERVICE EMPLOYEES    07
39,109.68260000000001,0,2003,Year,PRETORIA TECHNIKON,5.0 Student Services,TOTAL             08
40,8.41114,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,34.48760000000001,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,96.53280000000065,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,0.504,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,339.34599999999955,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,2.646,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,37.925,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,519.8525400000002,0,2003,Year,PRETORIA TECHNIKON,6.0 Institutional Support,TOTAL             08
48,0.014,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,2.869,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,6.0,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,1.0,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,25.833,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,29.0,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,159.81599999999997,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,224.53199999999998,0,2003,Year,PRETORIA TECHNIKON,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,1.0,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,7.0,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,44.303999999999995,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.0,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,31.838,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,84.142,0,2003,Year,PRETORIA TECHNIKON,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,1.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,1.0,0,2003,Year,PRETORIA TECHNIKON,10.0 Hospitals ,TOTAL             08
72,0.0,0,2003,Year,PRETORIA TECHNIKON,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
