,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,629.9045179999925,0,2003,Year,TECHNIKON SA,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,9.369829999999999,0,2003,Year,TECHNIKON SA,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,25.07679949999997,0,2003,Year,TECHNIKON SA,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2003,Year,TECHNIKON SA,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,17.060639999999992,0,2003,Year,TECHNIKON SA,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,TECHNIKON SA,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,TECHNIKON SA,1.0 Instruction,SERVICE EMPLOYEES    07
7,681.4117874999926,0,2003,Year,TECHNIKON SA,1.0 Instruction,TOTAL             08
8,21.389909999999993,0,2003,Year,TECHNIKON SA,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.2713400000000004,0,2003,Year,TECHNIKON SA,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,2.12505,0,2003,Year,TECHNIKON SA,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,TECHNIKON SA,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.2694800000000002,0,2003,Year,TECHNIKON SA,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,TECHNIKON SA,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,TECHNIKON SA,2.0 Research ,SERVICE EMPLOYEES    07
15,28.05578,0,2003,Year,TECHNIKON SA,2.0 Research ,TOTAL             08
16,1.589350000000001,0,2003,Year,TECHNIKON SA,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.23,0,2003,Year,TECHNIKON SA,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.396,0,2003,Year,TECHNIKON SA,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,TECHNIKON SA,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.156,0,2003,Year,TECHNIKON SA,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2003,Year,TECHNIKON SA,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2003,Year,TECHNIKON SA,3.0 Public Service,SERVICE EMPLOYEES    07
23,2.371350000000001,0,2003,Year,TECHNIKON SA,3.0 Public Service,TOTAL             08
24,35.22184000000001,0,2003,Year,TECHNIKON SA,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,19.271110000000004,0,2003,Year,TECHNIKON SA,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,84.39814999999996,0,2003,Year,TECHNIKON SA,4.0 Academic Support,SPEC/ SUPP PROF  03
27,17.879,0,2003,Year,TECHNIKON SA,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,328.5770000000002,0,2003,Year,TECHNIKON SA,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.5,0,2003,Year,TECHNIKON SA,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,0.0,0,2003,Year,TECHNIKON SA,4.0 Academic Support,SERVICE EMPLOYEES    07
31,485.8471000000002,0,2003,Year,TECHNIKON SA,4.0 Academic Support,TOTAL             08
32,1.1255,0,2003,Year,TECHNIKON SA,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,0.7395200000000001,0,2003,Year,TECHNIKON SA,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,4.454299999999999,0,2003,Year,TECHNIKON SA,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.1,0,2003,Year,TECHNIKON SA,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,34.572759999999995,0,2003,Year,TECHNIKON SA,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.1,0,2003,Year,TECHNIKON SA,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.25,0,2003,Year,TECHNIKON SA,5.0 Student Services,SERVICE EMPLOYEES    07
39,41.342079999999996,0,2003,Year,TECHNIKON SA,5.0 Student Services,TOTAL             08
40,4.7360999999999995,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,54.25985,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,82.75660000000002,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,31.625999999999998,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,526.7121999999962,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,32.4,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,13.2632,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,745.7539499999962,0,2003,Year,TECHNIKON SA,6.0 Institutional Support,TOTAL             08
48,0.5,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.09235,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.46,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,1.0,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,7.196299999999999,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,14.0,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,42.012,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,66.26065,0,2003,Year,TECHNIKON SA,7.0 Operation and maintenance of plant,TOTAL             08
56,0.3,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,0.5,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,0.8281000000000001,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.05,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,0.04662,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.0,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,0.3968,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,2.12152,0,2003,Year,TECHNIKON SA,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2003,Year,TECHNIKON SA,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2003,Year,TECHNIKON SA,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2003,Year,TECHNIKON SA,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2003,Year,TECHNIKON SA,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2003,Year,TECHNIKON SA,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
