,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,301.9016,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,4.3009,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,11.894200000000005,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,2.9754000000000005,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,SERVICE EMPLOYEES    07
7,321.0721,0,2003,Year,UNIVERSITY OF WESTERN CAPE,1.0 Instruction,TOTAL             08
8,213.32510000000053,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.0946,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,8.062800000000001,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.9836,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,SERVICE EMPLOYEES    07
15,226.46610000000055,0,2003,Year,UNIVERSITY OF WESTERN CAPE,2.0 Research ,TOTAL             08
16,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2003,Year,UNIVERSITY OF WESTERN CAPE,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
