,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,339.1625013000001,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.0,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,6.608599700000001,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.7101599999999999,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,346.4812610000001,0,2003,Year,VISTA UNIVERSITY,1.0 Instruction,TOTAL             08
8,49.99856,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,1.5543,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.269,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,51.821859999999994,0,2003,Year,VISTA UNIVERSITY,2.0 Research ,TOTAL             08
16,15.121109999999987,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.5,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.04304,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,15.664149999999987,0,2003,Year,VISTA UNIVERSITY,3.0 Public Service,TOTAL             08
24,60.57482000000003,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,2.0,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,48.115100000000005,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,14.0,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,369.39900000000074,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,69.546,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,563.6349200000008,0,2003,Year,VISTA UNIVERSITY,4.0 Academic Support,TOTAL             08
32,0.0,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,0.0,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,10.491,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,25.528,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.0,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,SERVICE EMPLOYEES    07
39,36.019,0,2003,Year,VISTA UNIVERSITY,5.0 Student Services,TOTAL             08
40,19.720299999999998,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,21.933999999999997,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,16.579,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,1.0,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,104.71379999999998,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,4.877,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,168.8241,0,2003,Year,VISTA UNIVERSITY,6.0 Institutional Support,TOTAL             08
48,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,1.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,0.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,1.0,0,2003,Year,VISTA UNIVERSITY,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,0.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,0.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,1.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.0,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,12.622,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,13.622,0,2003,Year,VISTA UNIVERSITY,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.0,0,2003,Year,VISTA UNIVERSITY,10.0 Hospitals ,TOTAL             08
72,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
73,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,EXEC/ ADMIN / MANAG PROF  02
74,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,SPEC/ SUPP PROF  03
75,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,TECHNICAL EMPLOYEES    04
76,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,NON-PROF ADMIN EMPLOYEES  05 
77,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,CRAFTS / TRADES EMPLOYEES  06
78,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,SERVICE EMPLOYEES    07
79,0.0,0,2003,Year,VISTA UNIVERSITY,11.0 Independent Operations,TOTAL             08
80,484.5772913000001,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,INSTR/ RESEARCH  PROF   01
81,23.933999999999997,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,EXEC/ ADMIN / MANAG PROF  02
82,83.8479997,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,SPEC/ SUPP PROF  03
83,15.0,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,TECHNICAL EMPLOYEES    04
84,502.66300000000075,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,NON-PROF ADMIN EMPLOYEES  05 
85,0.0,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,CRAFTS / TRADES EMPLOYEES  06
86,87.045,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,SERVICE EMPLOYEES    07
87,1197.067291000001,0,2003,Year,VISTA UNIVERSITY,12.0 TOTAL,TOTAL             08
