,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,142.47400000000002,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.5,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.9640000000000002,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.5,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.6295999999999999,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.8,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,SERVICE EMPLOYEES    07
7,147.86760000000004,0,2004,Year,EASTERN CAPE TECHNIKON,1.0 Instruction,TOTAL             08
8,29.689599999999956,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.2,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.5820000000000001,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.1276,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.2,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,SERVICE EMPLOYEES    07
15,30.799199999999956,0,2004,Year,EASTERN CAPE TECHNIKON,2.0 Research ,TOTAL             08
16,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,SERVICE EMPLOYEES    07
23,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,3.0 Public Service,TOTAL             08
24,9.322000000000001,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,3.3,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,9.722,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,SPEC/ SUPP PROF  03
27,11.5,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,22.31,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,SERVICE EMPLOYEES    07
31,56.153999999999996,0,2004,Year,EASTERN CAPE TECHNIKON,4.0 Academic Support,TOTAL             08
32,0.638,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,2.0,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,2.0,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,SPEC/ SUPP PROF  03
35,1.0,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,82.8790000000002,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,1.0,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,SERVICE EMPLOYEES    07
39,89.51700000000021,0,2004,Year,EASTERN CAPE TECHNIKON,5.0 Student Services,TOTAL             08
40,3.7619999999999996,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,13.0,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,9.529,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,2.0,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,51.556,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,2.0,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,81.847,0,2004,Year,EASTERN CAPE TECHNIKON,6.0 Institutional Support,TOTAL             08
48,6.956999999999999,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,1.0,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,0.632,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,11.83,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,28.947999999999997,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,9.0,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,58.36699999999999,0,2004,Year,EASTERN CAPE TECHNIKON,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,1.932,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,1.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,1.0,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,3.932,0,2004,Year,EASTERN CAPE TECHNIKON,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.585,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.585,0,2004,Year,EASTERN CAPE TECHNIKON,10.0 Hospitals ,TOTAL             08
72,0.525,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
73,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,EXEC/ ADMIN / MANAG PROF  02
74,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,SPEC/ SUPP PROF  03
75,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,TECHNICAL EMPLOYEES    04
76,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,NON-PROF ADMIN EMPLOYEES  05 
77,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,CRAFTS / TRADES EMPLOYEES  06
78,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,SERVICE EMPLOYEES    07
79,0.525,0,2004,Year,EASTERN CAPE TECHNIKON,11.0 Independent Operations,TOTAL             08
80,193.36759999999998,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,INSTR/ RESEARCH  PROF   01
81,21.0,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,EXEC/ ADMIN / MANAG PROF  02
82,26.945999999999998,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,SPEC/ SUPP PROF  03
83,26.83,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,TECHNICAL EMPLOYEES    04
84,188.0272000000002,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,NON-PROF ADMIN EMPLOYEES  05 
85,0.0,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,CRAFTS / TRADES EMPLOYEES  06
86,14.0,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,SERVICE EMPLOYEES    07
87,470.17080000000016,0,2004,Year,EASTERN CAPE TECHNIKON,12.0 TOTAL,TOTAL             08
