,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,234.49839979999996,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,12.564000000000004,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,2.0229999999999997,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.2,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,3.9116000000000004,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,SERVICE EMPLOYEES    07
7,253.19699979999993,0,2004,Year,PENINSULA TECHNIKON,1.0 Instruction,TOTAL             08
8,12.512549999999994,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.72,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.0,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,SERVICE EMPLOYEES    07
15,14.232549999999994,0,2004,Year,PENINSULA TECHNIKON,2.0 Research ,TOTAL             08
16,0.424,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.27,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,SERVICE EMPLOYEES    07
23,0.694,0,2004,Year,PENINSULA TECHNIKON,3.0 Public Service,TOTAL             08
24,29.894049999999986,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,8.47,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,13.672999999999998,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,SPEC/ SUPP PROF  03
27,39.056,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,176.6583999999998,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,5.003,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,SERVICE EMPLOYEES    07
31,272.7544499999998,0,2004,Year,PENINSULA TECHNIKON,4.0 Academic Support,TOTAL             08
32,0.31,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,0.0,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,7.0,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,SPEC/ SUPP PROF  03
35,4.2940000000000005,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,24.76,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.142,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,SERVICE EMPLOYEES    07
39,36.506000000000014,0,2004,Year,PENINSULA TECHNIKON,5.0 Student Services,TOTAL             08
40,0.07,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,17.504,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,10.7,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,2.0,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,97.52100000000002,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,1.0,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,6.866,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,135.661,0,2004,Year,PENINSULA TECHNIKON,6.0 Institutional Support,TOTAL             08
48,0.0,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,1.0,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.3,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,1.0,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,14.8,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,1.8,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,46.497,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,66.39699999999999,0,2004,Year,PENINSULA TECHNIKON,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,0.0,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,0.0,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,10.2,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.2,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,5.582,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,15.982,0,2004,Year,PENINSULA TECHNIKON,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.0,0,2004,Year,PENINSULA TECHNIKON,10.0 Hospitals ,TOTAL             08
72,0.0,0,2004,Year,PENINSULA TECHNIKON,11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
73,0.0,0,2004,Year,PENINSULA TECHNIKON,11.0 Independent Operations,EXEC/ ADMIN / MANAG PROF  02
74,0.0,0,2004,Year,PENINSULA TECHNIKON,11.0 Independent Operations,SPEC/ SUPP PROF  03
75,0.0,0,2004,Year,PENINSULA TECHNIKON,11.0 Independent Operations,TECHNICAL EMPLOYEES    04
76,0.0,0,2004,Year,PENINSULA TECHNIKON,11.0 Independent Operations,NON-PROF ADMIN EMPLOYEES  05 
