,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,624.4126570000008,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,SERVICE EMPLOYEES    07
7,624.4126570000008,0,2004,Year,UNIVERSITY OF WITWATERSRAND,1.0 Instruction,TOTAL             08
8,445.1429609999989,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,SERVICE EMPLOYEES    07
15,445.1429609999989,0,2004,Year,UNIVERSITY OF WITWATERSRAND,2.0 Research ,TOTAL             08
16,70.325146,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,SERVICE EMPLOYEES    07
23,70.325146,0,2004,Year,UNIVERSITY OF WITWATERSRAND,3.0 Public Service,TOTAL             08
24,180.67542600000033,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,1.155932,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,77.19147399999999,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,SPEC/ SUPP PROF  03
27,208.88067799999993,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,639.7025359999999,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,9.998634,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,123.16502599999998,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,SERVICE EMPLOYEES    07
31,1240.769706,0,2004,Year,UNIVERSITY OF WITWATERSRAND,4.0 Academic Support,TOTAL             08
32,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,4.234973,0,2004,Year,UNIVERSITY OF WITWATERSRAND,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,10.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2004,Year,UNIVERSITY OF WITWATERSRAND,5.0 Student Services,TECHNICAL EMPLOYEES    04
