,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,621.5519762000048,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,5.9813998,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,9.6678,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,SPEC/ SUPP PROF  03
3,6.67,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,27.021259599999986,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,SERVICE EMPLOYEES    07
7,670.8924356000048,0,2005,Year,UNIVERSITY OF LIMPOPO,1.0 Instruction,TOTAL             08
8,78.68855999999985,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.56,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,9.932400000000001,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,SPEC/ SUPP PROF  03
11,2.5,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,TECHNICAL EMPLOYEES    04
12,5.74964,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.4,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,SERVICE EMPLOYEES    07
15,98.83059999999986,0,2005,Year,UNIVERSITY OF LIMPOPO,2.0 Research ,TOTAL             08
16,4.222,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.08,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.35,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.15,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,4.0633,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,1.0,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,SERVICE EMPLOYEES    07
23,9.865300000000001,0,2005,Year,UNIVERSITY OF LIMPOPO,3.0 Public Service,TOTAL             08
24,152.1965099999998,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,9.2167,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,61.55780000000002,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,SPEC/ SUPP PROF  03
27,28.72,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,257.18704999999983,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,3.0,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,34.147999999999996,0,2005,Year,UNIVERSITY OF LIMPOPO,4.0 Academic Support,SERVICE EMPLOYEES    07
