,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,437.6243215999977,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,3.4636999000000004,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,2.7593998999999996,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,4.363199999999998,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,19.48615,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,467.6967713999977,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,1.0 Instruction,TOTAL             08
8,73.87988000000007,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,2.4111000000000002,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,1.15,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.67125,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,79.11223000000008,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,2.0 Research ,TOTAL             08
16,11.010519999999996,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,2.7525,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,2.332,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,3.625,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,36.31143999999999,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,56.03145999999999,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,3.0 Public Service,TOTAL             08
24,87.98548999999993,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,12.6832,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,36.07920000000001,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,81.16580000000003,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,320.18975999999964,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,3.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,21.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,562.1034499999996,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,4.0 Academic Support,TOTAL             08
32,1.30792,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,4.7,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,23.057,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,SPEC/ SUPP PROF  03
35,3.034,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,67.63575000000004,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,1.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,SERVICE EMPLOYEES    07
39,100.73467000000005,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,5.0 Student Services,TOTAL             08
40,6.670859999999994,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,40.5165,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,36.386399999999995,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,22.061000000000007,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,197.53304999999997,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,1.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,19.6,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,323.76780999999994,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,6.0 Institutional Support,TOTAL             08
48,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,3.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,2.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,24.410600000000002,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,56.945,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,72.98,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,159.3356,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,2.1,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,5.4319999999999995,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.3,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,14.852,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,2.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,34.236000000000004,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,58.92,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2006,Year,NELSON MANDELA METROPOLITAN UNIVERSITY,10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
