,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,918.2916330000194,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,1.32,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,7.43,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,SPEC/ SUPP PROF  03
3,4.717329,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,54.73471899999994,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,SERVICE EMPLOYEES    07
7,986.4936810000193,0,2006,Year,UNIVERSITY OF JOHANNESBURG,1.0 Instruction,TOTAL             08
8,147.33917999999989,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.81,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,4.23,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,SPEC/ SUPP PROF  03
11,0.95,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,TECHNICAL EMPLOYEES    04
12,5.78157,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,SERVICE EMPLOYEES    07
15,159.11074999999985,0,2006,Year,UNIVERSITY OF JOHANNESBURG,2.0 Research ,TOTAL             08
16,24.411840000000023,0,2006,Year,UNIVERSITY OF JOHANNESBURG,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.24,0,2006,Year,UNIVERSITY OF JOHANNESBURG,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,4.02,0,2006,Year,UNIVERSITY OF JOHANNESBURG,3.0 Public Service,SPEC/ SUPP PROF  03
19,1.55,0,2006,Year,UNIVERSITY OF JOHANNESBURG,3.0 Public Service,TECHNICAL EMPLOYEES    04
