,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,453.02527200000003,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.536576,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,4.395325,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.0,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.038356,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,SERVICE EMPLOYEES    07
7,457.9955290000001,0,2007,Year,NORTH WEST UNIVERSITY,1.0 Instruction,TOTAL             08
8,302.6168239999995,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.3705480000000008,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,7.087088999999998,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.604932,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.4844659999999998,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,SERVICE EMPLOYEES    07
15,315.1638589999995,0,2007,Year,NORTH WEST UNIVERSITY,2.0 Research ,TOTAL             08
16,60.32458500000007,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,5.615341999999999,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,50.98942899999999,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,SPEC/ SUPP PROF  03
19,47.243045999999985,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,36.50124900000001,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,3.0,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,SERVICE EMPLOYEES    07
23,203.67365100000006,0,2007,Year,NORTH WEST UNIVERSITY,3.0 Public Service,TOTAL             08
24,92.85764599999952,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,33.047467,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,457.0618380000007,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,SPEC/ SUPP PROF  03
27,133.026869,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,823.5437970000036,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,3.653333,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,93.94589199999997,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,SERVICE EMPLOYEES    07
31,1637.1368420000038,0,2007,Year,NORTH WEST UNIVERSITY,4.0 Academic Support,TOTAL             08
