,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,287.3406999000001,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,3.8,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,37.44145000000002,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,SPEC/ SUPP PROF  03
3,2.333,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,13.313699999999995,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,SERVICE EMPLOYEES    07
7,344.22884990000017,0,2007,Year,UNIVERSITY OF FORT HARE,1.0 Instruction,TOTAL             08
8,16.362399999999994,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,2.05,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,2.7047499999999998,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,TECHNICAL EMPLOYEES    04
12,1.2313,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,SERVICE EMPLOYEES    07
15,22.348449999999996,0,2007,Year,UNIVERSITY OF FORT HARE,2.0 Research ,TOTAL             08
16,0.4585000000000001,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,1.0085,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,1.581,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,SERVICE EMPLOYEES    07
23,3.048,0,2007,Year,UNIVERSITY OF FORT HARE,3.0 Public Service,TOTAL             08
24,13.094399999999998,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,16.994,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,136.13330000000002,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,SPEC/ SUPP PROF  03
27,36.45399999999999,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,206.205,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,11.332,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,SERVICE EMPLOYEES    07
31,420.21270000000027,0,2007,Year,UNIVERSITY OF FORT HARE,4.0 Academic Support,TOTAL             08
32,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,2.166,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,43.30199999999986,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,SPEC/ SUPP PROF  03
35,1.0,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,56.83399999999991,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,SERVICE EMPLOYEES    07
39,103.30199999999977,0,2007,Year,UNIVERSITY OF FORT HARE,5.0 Student Services,TOTAL             08
40,0.1,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,30.126,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,39.430999999999976,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,7.951,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,113.50100000000023,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,3.812,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,SERVICE EMPLOYEES    07
47,194.92100000000022,0,2007,Year,UNIVERSITY OF FORT HARE,6.0 Institutional Support,TOTAL             08
48,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,2.515,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,11.5,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,13.854000000000001,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,3.542,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,21.44,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,52.851,0,2007,Year,UNIVERSITY OF FORT HARE,7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,1.0,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,1.25,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,4.0,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,14.245999999999999,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.5820000000000001,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,1.44,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,22.518,0,2007,Year,UNIVERSITY OF FORT HARE,9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2007,Year,UNIVERSITY OF FORT HARE,10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
