,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,498.6608600000018,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,2.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,15.850509999999996,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,SPEC/ SUPP PROF  03
3,4.96,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,TECHNICAL EMPLOYEES    04
4,3.1361999999999997,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.8,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,SERVICE EMPLOYEES    07
7,525.4075700000018,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",1.0 Instruction,TOTAL             08
8,76.96373000000015,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.2,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,2.592310000000001,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,SPEC/ SUPP PROF  03
11,0.77,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.18780000000000002,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.2,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,SERVICE EMPLOYEES    07
15,80.91384000000015,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",2.0 Research ,TOTAL             08
16,2.8737200000000014,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,1.06658,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,SPEC/ SUPP PROF  03
19,0.07,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,SERVICE EMPLOYEES    07
23,4.010300000000002,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",3.0 Public Service,TOTAL             08
24,76.10799000000056,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,4.3,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,41.863600000000034,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,SPEC/ SUPP PROF  03
27,24.936,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,122.50900000000001,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,2.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,2.666,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,SERVICE EMPLOYEES    07
31,274.38259000000056,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",4.0 Academic Support,TOTAL             08
32,6.5911,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,4.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,7.525,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,SPEC/ SUPP PROF  03
35,0.676,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,TECHNICAL EMPLOYEES    04
36,54.314000000000014,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,1.186,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,1.0,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,SERVICE EMPLOYEES    07
39,75.2921,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",5.0 Student Services,TOTAL             08
40,16.206200000000006,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,22.335,0,2007,Year,"WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC",6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
