,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,229.14719909999704,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.39,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.838,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,SPEC/ SUPP PROF  03
3,2.04216,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,TECHNICAL EMPLOYEES    04
4,1.3315000000000001,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,SERVICE EMPLOYEES    07
7,234.74885909999702,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",1.0 Instruction,TOTAL             08
8,22.25924999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,INSTR/ RESEARCH  PROF   01
9,1.3447,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,1.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,SPEC/ SUPP PROF  03
11,0.4968,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,TECHNICAL EMPLOYEES    04
12,3.0084,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,SERVICE EMPLOYEES    07
15,28.10914999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",2.0 Research ,TOTAL             08
16,4.1682999999999995,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.6197999999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.61725,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.12390000000000001,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,SERVICE EMPLOYEES    07
23,5.529249999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",3.0 Public Service,TOTAL             08
24,46.88074999999991,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,6.459799999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,31.525999999999996,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,SPEC/ SUPP PROF  03
27,14.23984,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,90.25590000000003,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,2.067,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,6.287000000000001,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,SERVICE EMPLOYEES    07
31,197.71628999999993,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",4.0 Academic Support,TOTAL             08
32,0.765,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,1.9,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,22.595,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,SPEC/ SUPP PROF  03
35,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,TECHNICAL EMPLOYEES    04
36,8.355599999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,0.333,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,0.843,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,SERVICE EMPLOYEES    07
39,34.79159999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",5.0 Student Services,TOTAL             08
40,1.5705000000000002,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,18.619699999999998,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,42.05675,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,SPEC/ SUPP PROF  03
43,7.5981999999999985,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,93.39450000000005,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,0.4,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,41.313999999999915,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,SERVICE EMPLOYEES    07
47,204.95364999999995,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",6.0 Institutional Support,TOTAL             08
48,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,INSTR/ RESEARCH  PROF   01
49,0.5,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,EXEC/ ADMIN / MANAG PROF  02
50,1.35,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,SPEC/ SUPP PROF  03
51,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,TECHNICAL EMPLOYEES    04
52,22.787799999999994,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,NON-PROF ADMIN EMPLOYEES  05 
53,7.348999999999999,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,CRAFTS / TRADES EMPLOYEES  06
54,64.79679999999996,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,SERVICE EMPLOYEES    07
55,96.78359999999996,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",7.0 Operation and maintenance of plant,TOTAL             08
56,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,INSTR/ RESEARCH  PROF   01
57,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,EXEC/ ADMIN / MANAG PROF  02
58,5.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,SPEC/ SUPP PROF  03
59,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,TECHNICAL EMPLOYEES    04
60,3.3564000000000003,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,NON-PROF ADMIN EMPLOYEES  05 
61,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,CRAFTS / TRADES EMPLOYEES  06
62,35.00520000000001,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,SERVICE EMPLOYEES    07
63,43.36160000000001,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",9.0 Auxiliary Enterprises,TOTAL             08
64,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,INSTR/ RESEARCH  PROF   01
65,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,EXEC/ ADMIN / MANAG PROF  02
66,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,SPEC/ SUPP PROF  03
67,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,TECHNICAL EMPLOYEES    04
68,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,NON-PROF ADMIN EMPLOYEES  05 
69,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,CRAFTS / TRADES EMPLOYEES  06
70,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,SERVICE EMPLOYEES    07
71,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",10.0 Hospitals ,TOTAL             08
72,0.0,0,2008,Year,"CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE",11.0 Independent Operations,INSTR/ RESEARCH  PROF   01
