,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,110.29175739999997,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,0.84745,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,1.9743998999999999,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,SPEC/ SUPP PROF  03
3,0.9,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,SERVICE EMPLOYEES    07
7,114.01360729999996,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,1.0 Instruction,TOTAL             08
8,9.390310000000003,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,0.22595,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,SPEC/ SUPP PROF  03
11,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,TECHNICAL EMPLOYEES    04
12,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,SERVICE EMPLOYEES    07
15,9.616260000000002,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,2.0 Research ,TOTAL             08
16,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,SPEC/ SUPP PROF  03
19,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,SERVICE EMPLOYEES    07
23,0.0,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,3.0 Public Service,TOTAL             08
24,25.017930000000007,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,5.14955,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,13.010649999999998,0,2008,Year,MANGOSUTHU UNIVERSITY OF TECHNOLOGY,4.0 Academic Support,SPEC/ SUPP PROF  03
