,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,607.9935080000037,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,INSTR/ RESEARCH  PROF   01
1,2.8762000000000003,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,EXEC/ ADMIN / MANAG PROF  02
2,84.826014,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,SPEC/ SUPP PROF  03
3,1.1613,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,TECHNICAL EMPLOYEES    04
4,92.44861700000008,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,NON-PROF ADMIN EMPLOYEES  05 
5,0.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,CRAFTS / TRADES EMPLOYEES  06
6,0.1328,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,SERVICE EMPLOYEES    07
7,789.4384390000038,0,2008,Year,UNIVERSITY OF CAPE TOWN,1.0 Instruction,TOTAL             08
8,346.0178009999992,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,INSTR/ RESEARCH  PROF   01
9,3.83,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,EXEC/ ADMIN / MANAG PROF  02
10,9.6705,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,SPEC/ SUPP PROF  03
11,3.7912999999999997,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,TECHNICAL EMPLOYEES    04
12,33.515501,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,NON-PROF ADMIN EMPLOYEES  05 
13,0.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,CRAFTS / TRADES EMPLOYEES  06
14,0.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,SERVICE EMPLOYEES    07
15,396.8251019999992,0,2008,Year,UNIVERSITY OF CAPE TOWN,2.0 Research ,TOTAL             08
16,39.56420000000006,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,INSTR/ RESEARCH  PROF   01
17,2.3665,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,EXEC/ ADMIN / MANAG PROF  02
18,12.125099999999994,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,SPEC/ SUPP PROF  03
19,4.882200000000001,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,TECHNICAL EMPLOYEES    04
20,48.72860000000008,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,NON-PROF ADMIN EMPLOYEES  05 
21,2.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,CRAFTS / TRADES EMPLOYEES  06
22,11.681499999999994,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,SERVICE EMPLOYEES    07
23,121.34810000000013,0,2008,Year,UNIVERSITY OF CAPE TOWN,3.0 Public Service,TOTAL             08
24,103.90460000000006,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,INSTR/ RESEARCH  PROF   01
25,7.595,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,EXEC/ ADMIN / MANAG PROF  02
26,207.06179999999998,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,SPEC/ SUPP PROF  03
27,193.52640000000002,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,TECHNICAL EMPLOYEES    04
28,709.6271000000008,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,NON-PROF ADMIN EMPLOYEES  05 
29,4.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,CRAFTS / TRADES EMPLOYEES  06
30,43.74,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,SERVICE EMPLOYEES    07
31,1269.4549000000009,0,2008,Year,UNIVERSITY OF CAPE TOWN,4.0 Academic Support,TOTAL             08
32,12.356100000000003,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,INSTR/ RESEARCH  PROF   01
33,3.3865999999999996,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,EXEC/ ADMIN / MANAG PROF  02
34,34.8825,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,SPEC/ SUPP PROF  03
35,7.2673999999999985,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,TECHNICAL EMPLOYEES    04
36,86.82920000000006,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,NON-PROF ADMIN EMPLOYEES  05 
37,5.0,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,CRAFTS / TRADES EMPLOYEES  06
38,12.380099999999999,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,SERVICE EMPLOYEES    07
39,162.10190000000003,0,2008,Year,UNIVERSITY OF CAPE TOWN,5.0 Student Services,TOTAL             08
40,41.36920000000001,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,INSTR/ RESEARCH  PROF   01
41,44.17480000000001,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,EXEC/ ADMIN / MANAG PROF  02
42,225.41669999999993,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,SPEC/ SUPP PROF  03
43,38.386199999999995,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,TECHNICAL EMPLOYEES    04
44,748.2726,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,NON-PROF ADMIN EMPLOYEES  05 
45,1.8145,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,CRAFTS / TRADES EMPLOYEES  06
46,20.5836,0,2008,Year,UNIVERSITY OF CAPE TOWN,6.0 Institutional Support,SERVICE EMPLOYEES    07
