,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,647.13,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,4.124,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,20.902,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,3.676,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,7.795,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,683.627,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,TOTAL 
8,66.423,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,5.23,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,4.445,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,5.142,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,81.24,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,TOTAL 
16,4.895,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,4.895,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,TOTAL 
