,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,218.774,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,0.9,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,5.304,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,2.859,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,227.838,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),1.0 INSTRUCTION,TOTAL 
8,58.139,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.05,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,1.645,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.981,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,SERVICE EMPLOYEES
15,60.815,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),2.0 RESEARCH ,TOTAL 
16,0.291,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,2.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,2.291,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),3.0 PUBLIC SERVICE,TOTAL 
24,34.353,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,15.496,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,78.154,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,28.245,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,156.121,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,13.381,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,325.75,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),4.0 ACADEMIC SUPPORT,TOTAL 
32,2.142,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,1.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,23.554,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,2.01,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,29.253,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,SERVICE EMPLOYEES
39,57.959,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),5.0 STUDENT SERVICES,TOTAL 
40,0.7,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,INSTR/ RESEARCH  PROF 
41,30.111,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,EXEC/ ADMIN / MANAG PROF
42,26.286,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,SPEC/ SUPP PROF
43,3.996,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,TECHNICAL EMPLOYEES
44,102.459,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,NON-PROF ADMIN EMPLOYEES
45,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,CRAFTS / TRADES EMPLOYEES
46,1.798,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,SERVICE EMPLOYEES
47,165.35,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),6.0 INSTITUTIONAL SUPPORT,TOTAL 
48,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,INSTR/ RESEARCH  PROF 
49,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,EXEC/ ADMIN / MANAG PROF
50,1.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,SPEC/ SUPP PROF
51,14.048,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,TECHNICAL EMPLOYEES
52,19.412,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,NON-PROF ADMIN EMPLOYEES
53,1.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,CRAFTS / TRADES EMPLOYEES
54,13.282,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,SERVICE EMPLOYEES
55,48.742,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),7.0 OPERATION AND MAINTENANCE OF PLANT,TOTAL 
56,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,INSTR/ RESEARCH  PROF 
57,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,EXEC/ ADMIN / MANAG PROF
58,1.007,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,SPEC/ SUPP PROF
59,4.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,TECHNICAL EMPLOYEES
60,11.185,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,NON-PROF ADMIN EMPLOYEES
61,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,CRAFTS / TRADES EMPLOYEES
62,3.845,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,SERVICE EMPLOYEES
63,20.037,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),9.0 AUXILIARY ENTERPRISES,TOTAL 
64,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,INSTR/ RESEARCH  PROF 
65,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,EXEC/ ADMIN / MANAG PROF
66,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,SPEC/ SUPP PROF
67,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,TECHNICAL EMPLOYEES
68,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,NON-PROF ADMIN EMPLOYEES
69,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,CRAFTS / TRADES EMPLOYEES
70,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,SERVICE EMPLOYEES
71,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),10.0 HOSPITAL SERVICES,TOTAL 
72,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,INSTR/ RESEARCH  PROF 
73,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,EXEC/ ADMIN / MANAG PROF
74,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,SPEC/ SUPP PROF
75,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,TECHNICAL EMPLOYEES
76,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,NON-PROF ADMIN EMPLOYEES
77,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,CRAFTS / TRADES EMPLOYEES
78,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,SERVICE EMPLOYEES
79,0.0,0,2010,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),11.0 INDEPENDENT OPERATIONS,TOTAL 
