,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,656.173,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,8.41,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,3.9,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,4.2,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,18.931,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,691.614,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,TOTAL 
8,53.704,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,1.16,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,4.601,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.9,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.28,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,SERVICE EMPLOYEES
15,60.645,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,TOTAL 
16,1.858,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.03,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.15,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,1.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.0,0,2010,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
