,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,696.294,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,1.13,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,3.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,700.424,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),1.0 INSTRUCTION,TOTAL 
8,317.984,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,3.83,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,321.814,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),2.0 RESEARCH ,TOTAL 
16,76.741,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,3.64,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,39.144,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,34.82,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,42.383,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,5.587,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,202.315,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),3.0 PUBLIC SERVICE,TOTAL 
24,187.425,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,32.632,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,175.918,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,142.676,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,650.7,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,6.413,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,97.004,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,1292.768,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),4.0 ACADEMIC SUPPORT,TOTAL 
32,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,7.5,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,34.18,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,7.337,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,107.986,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,9.826,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,SERVICE EMPLOYEES
39,166.829,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),5.0 STUDENT SERVICES,TOTAL 
40,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,INSTR/ RESEARCH  PROF 
41,48.041,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,EXEC/ ADMIN / MANAG PROF
42,97.33,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,SPEC/ SUPP PROF
43,25.475,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,TECHNICAL EMPLOYEES
44,385.848,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,NON-PROF ADMIN EMPLOYEES
45,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,CRAFTS / TRADES EMPLOYEES
46,95.827,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,SERVICE EMPLOYEES
47,652.522,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,TOTAL 
48,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,INSTR/ RESEARCH  PROF 
49,3.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,EXEC/ ADMIN / MANAG PROF
50,7.833,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,SPEC/ SUPP PROF
51,10.995,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,TECHNICAL EMPLOYEES
52,25.561,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,NON-PROF ADMIN EMPLOYEES
53,26.15,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,CRAFTS / TRADES EMPLOYEES
54,44.955,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,SERVICE EMPLOYEES
55,118.495,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,TOTAL 
56,0.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),9.0 AUXILIARY ENTERPRISES,INSTR/ RESEARCH  PROF 
57,1.0,0,2010,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),9.0 AUXILIARY ENTERPRISES,EXEC/ ADMIN / MANAG PROF
