,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,457.841,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,2.03,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,9.955,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,SPEC/ SUPP PROF
3,1.68,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,3.238,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,SERVICE EMPLOYEES
7,474.744,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",1.0 INSTRUCTION,TOTAL 
8,93.529,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.299,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,2.42,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.27,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.262,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,SERVICE EMPLOYEES
15,96.78,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",2.0 RESEARCH ,TOTAL 
16,8.946,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.45,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,1.19,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.02,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,4.181,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,2.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,16.787,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",3.0 PUBLIC SERVICE,TOTAL 
24,114.823,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,5.201,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,44.984,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,12.543,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,198.501,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,2.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,3.231,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,381.282,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",4.0 ACADEMIC SUPPORT,TOTAL 
32,38.704,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,1.45,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,11.5,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,2.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
