,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,495.177,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,7.56,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,14.888,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,5.127,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,14.809,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,537.561,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),1.0 INSTRUCTION,TOTAL 
8,78.302,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.85,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,2.359,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.078,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,81.59,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),2.0 RESEARCH ,TOTAL 
16,6.865,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,13.802,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,20.108,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,1.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,18.002,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.6,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,60.377,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),3.0 PUBLIC SERVICE,TOTAL 
24,95.155,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,44.658,0,2012,Year,INSTITUTION: H10 (NELSON MANDELA METROPOLITAN UNIVERSITY),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
