,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,523.588,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,1.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,13.76,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,3.508,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,7.445,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,1.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,550.301,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),1.0 INSTRUCTION,TOTAL 
8,75.627,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,1.55,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.2,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.43,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,77.807,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),2.0 RESEARCH ,TOTAL 
16,5.086,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.3,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,1.3,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,12.155,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,5.8,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.5,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,26.141,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),3.0 PUBLIC SERVICE,TOTAL 
24,110.589,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,2.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,51.814,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,12.183,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,224.972,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,1.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,12.2,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,414.758,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),4.0 ACADEMIC SUPPORT,TOTAL 
32,17.549,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,1.35,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,7.832,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,2.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,32.953,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,5.1,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,2.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,SERVICE EMPLOYEES
39,68.784,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),5.0 STUDENT SERVICES,TOTAL 
40,10.942,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,INSTR/ RESEARCH  PROF 
41,43.708,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,EXEC/ ADMIN / MANAG PROF
42,16.574,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,SPEC/ SUPP PROF
43,22.562,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,TECHNICAL EMPLOYEES
44,202.979,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,NON-PROF ADMIN EMPLOYEES
45,17.8,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,CRAFTS / TRADES EMPLOYEES
46,27.45,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,SERVICE EMPLOYEES
47,342.015,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),6.0 INSTITUTIONAL SUPPORT,TOTAL 
48,2.3,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,INSTR/ RESEARCH  PROF 
49,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,EXEC/ ADMIN / MANAG PROF
50,2.751,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,SPEC/ SUPP PROF
51,18.3,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,TECHNICAL EMPLOYEES
52,17.662,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,NON-PROF ADMIN EMPLOYEES
53,36.795,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,CRAFTS / TRADES EMPLOYEES
54,161.676,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,SERVICE EMPLOYEES
55,239.484,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),7.0 OPERATION AND MAINTENANCE OF PLANT,TOTAL 
56,0.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,INSTR/ RESEARCH  PROF 
57,0.15,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,EXEC/ ADMIN / MANAG PROF
58,1.01,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,SPEC/ SUPP PROF
59,1.05,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,TECHNICAL EMPLOYEES
60,17.142,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,NON-PROF ADMIN EMPLOYEES
61,27.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,CRAFTS / TRADES EMPLOYEES
62,38.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,SERVICE EMPLOYEES
63,84.352,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),9.0 AUXILIARY ENTERPRISES,TOTAL 
64,2.035,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,INSTR/ RESEARCH  PROF 
65,1.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,EXEC/ ADMIN / MANAG PROF
66,10.259,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,SPEC/ SUPP PROF
67,1.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,TECHNICAL EMPLOYEES
68,31.034,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,NON-PROF ADMIN EMPLOYEES
69,2.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,CRAFTS / TRADES EMPLOYEES
70,2.0,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,SERVICE EMPLOYEES
71,49.328,0,2012,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),10.0 HOSPITAL SERVICES,TOTAL 
