,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,575.12,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.73,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,5.02,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,2.88,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,5.1,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,593.85,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),1.0 INSTRUCTION,TOTAL 
8,245.81,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,28.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,1.65,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,SPEC/ SUPP PROF
11,8.16,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,SERVICE EMPLOYEES
15,283.62,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),2.0 RESEARCH ,TOTAL 
16,54.48,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.32,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.05,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,54.85,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),3.0 PUBLIC SERVICE,TOTAL 
24,124.89,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
