,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,712.191,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,9.64,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,12.874,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,4.31,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,32.564,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.838,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,772.417,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),1.0 INSTRUCTION,TOTAL 
8,50.123,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.73,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,5.077,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.5,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,1.148,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,SERVICE EMPLOYEES
15,57.578,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),2.0 RESEARCH ,TOTAL 
16,1.659,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.03,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.15,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,1.538,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.0,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,4.377,0,2013,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),3.0 PUBLIC SERVICE,TOTAL 
