,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,845.763,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.66,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,29.178,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,97.124,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,977.725,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),1.0 INSTRUCTION,TOTAL 
8,51.657,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,1.44,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.559,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,1.85,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,55.506,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),2.0 RESEARCH ,TOTAL 
16,13.019,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.1,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.289,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.649,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2013,Year,INSTITUTION: H16 (TSHWANE UNIVERSITY OF TECHNOLOGY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
