,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,1041.679,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.446,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,42.635,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,4.499,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,47.658,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,1.8,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,1143.718,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),1.0 INSTRUCTION,TOTAL 
8,586.666,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,3.416,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,23.225,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,SPEC/ SUPP PROF
11,3.769,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,32.586,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,SERVICE EMPLOYEES
15,649.662,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),2.0 RESEARCH ,TOTAL 
16,226.979,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,1.292,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,12.36,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.456,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,14.474,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,256.56,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),3.0 PUBLIC SERVICE,TOTAL 
24,229.581,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,4.714,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,126.5,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,173.715,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,464.901,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,3.682,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,68.694,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,1071.787,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),4.0 ACADEMIC SUPPORT,TOTAL 
32,4.33,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,0.918,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,21.133,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,51.009,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,0.0,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,21.937,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,SERVICE EMPLOYEES
39,99.327,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),5.0 STUDENT SERVICES,TOTAL 
40,144.113,0,2013,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),6.0 INSTITUTIONAL SUPPORT,INSTR/ RESEARCH  PROF 
