,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,465.073,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,1.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,0.6,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.398,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,1.56,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,468.631,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),1.0 INSTRUCTION,TOTAL 
8,47.104,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.2,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.013,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,47.317,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),2.0 RESEARCH ,TOTAL 
16,2.399,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,2.399,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),3.0 PUBLIC SERVICE,TOTAL 
24,119.176,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,17.51,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,68.71,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,138.804,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,252.644,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,0.049,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,22.852,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,619.744,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),4.0 ACADEMIC SUPPORT,TOTAL 
32,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,3.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,18.704,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,0.0,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,28.038,0,2014,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
