,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,508.454,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.456,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,10.338,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,SPEC/ SUPP PROF
3,2.525,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,8.706,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.45,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,SERVICE EMPLOYEES
7,535.928,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",1.0 INSTRUCTION,TOTAL 
8,76.035,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.634,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,1.873,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.2,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.935,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,SERVICE EMPLOYEES
15,79.676,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",2.0 RESEARCH ,TOTAL 
16,6.499,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.35,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.05,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,1.3,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,13.759,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,5.3,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.5,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,28.758,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",3.0 PUBLIC SERVICE,TOTAL 
24,121.564,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,8.544,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,50.168,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,12.176,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,231.456,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,2.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,10.785,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,436.694,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",4.0 ACADEMIC SUPPORT,TOTAL 
32,12.051,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,1.375,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,6.936,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,3.853,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,47.292,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,3.1,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,3.2,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",5.0 STUDENT SERVICES,SERVICE EMPLOYEES
