,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,524.842,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,4.92,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,21.269,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,4.868,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,39.178,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,595.077,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),1.0 INSTRUCTION,TOTAL 
8,101.995,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.65,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,6.311,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,1.05,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,5.949,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,115.954,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),2.0 RESEARCH ,TOTAL 
16,10.185,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,14.826,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,19.429,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,37.871,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.6,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,82.91,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),3.0 PUBLIC SERVICE,TOTAL 
24,103.293,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,45.173,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,96.747,0,2016,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
