,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,550.434,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.15,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,8.174,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,3.275,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,8.9,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,1.0,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,576.932,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),1.0 INSTRUCTION,TOTAL 
8,66.81,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.37,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.8,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.2,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,1.8,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,SERVICE EMPLOYEES
15,69.98,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),2.0 RESEARCH ,TOTAL 
16,4.957,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.3,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.05,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,1.3,0,2016,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
