,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,475.525,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,0.05,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,7.618,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,3.18,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,6.616,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,492.989,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),1.0 INSTRUCTION,TOTAL 
8,68.994,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,1.2,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,3.094,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,SPEC/ SUPP PROF
11,1.357,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,1.1,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,SERVICE EMPLOYEES
15,75.745,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),2.0 RESEARCH ,TOTAL 
16,0.1,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2016,Year,INSTITUTION: H26 (SEFAKO MAKGATHO HEALTH SCIENCE UNIVERSITY),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
