,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,219.089,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,1.85,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,8.106,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,SPEC/ SUPP PROF
3,2.78,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,9.15,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,12.735,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,SERVICE EMPLOYEES
7,253.709,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",1.0 INSTRUCTION,TOTAL 
8,44.902,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,1.2,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,2.312,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.675,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.088,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,SERVICE EMPLOYEES
15,49.177,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",2.0 RESEARCH ,TOTAL 
16,4.422,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.39,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,2.6,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,9.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,1.341,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,1.037,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,18.791,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",3.0 PUBLIC SERVICE,TOTAL 
24,90.417,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,11.437,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,41.046,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,31.93,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,248.696,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,1.039,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,33.158,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,457.723,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",4.0 ACADEMIC SUPPORT,TOTAL 
32,0.568,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,INSTR/ RESEARCH  PROF 
33,3.1,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,EXEC/ ADMIN / MANAG PROF
34,12.47,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,SPEC/ SUPP PROF
35,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,TECHNICAL EMPLOYEES
36,15.97,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,NON-PROF ADMIN EMPLOYEES
37,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,CRAFTS / TRADES EMPLOYEES
38,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,SERVICE EMPLOYEES
39,32.109,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",5.0 STUDENT SERVICES,TOTAL 
40,2.427,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,INSTR/ RESEARCH  PROF 
41,25.245,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,EXEC/ ADMIN / MANAG PROF
42,19.649,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,SPEC/ SUPP PROF
43,11.092,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,TECHNICAL EMPLOYEES
44,105.793,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,NON-PROF ADMIN EMPLOYEES
45,0.519,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,CRAFTS / TRADES EMPLOYEES
46,76.721,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,SERVICE EMPLOYEES
47,241.446,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",6.0 INSTITUTIONAL SUPPORT,TOTAL 
48,0.0,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",7.0 OPERATION AND MAINTENANCE OF PLANT,INSTR/ RESEARCH  PROF 
49,0.25,0,2017,Year,"INSTITUTION: H03 (CENTRAL UNIVERSITY OF TECHNOLOGY, FREE STATE)",7.0 OPERATION AND MAINTENANCE OF PLANT,EXEC/ ADMIN / MANAG PROF
