,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,532.54,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,2.44,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,3.43,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,7.68,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,6.97,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,553.06,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),1.0 INSTRUCTION,TOTAL 
8,223.99,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,3.42,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.97,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,SPEC/ SUPP PROF
11,1.16,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.31,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,SERVICE EMPLOYEES
15,229.85,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),2.0 RESEARCH ,TOTAL 
16,43.71,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.3,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.25,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.11,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,44.37,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),3.0 PUBLIC SERVICE,TOTAL 
24,262.56,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,43.47,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,92.53,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,125.76,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
28,664.95,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,NON-PROF ADMIN EMPLOYEES
29,1.0,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,CRAFTS / TRADES EMPLOYEES
30,78.13,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,SERVICE EMPLOYEES
31,1268.4,0,2017,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),4.0 ACADEMIC SUPPORT,TOTAL 
