,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,281.071,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,3.35,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,2.417,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.0,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,3.266,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,15.592,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,305.697,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),1.0 INSTRUCTION,TOTAL 
8,32.694,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.85,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.238,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.0,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2017,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
