,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,60.696,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,2.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,4.727,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,SPEC/ SUPP PROF
3,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,SERVICE EMPLOYEES
7,67.424,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",1.0 INSTRUCTION,TOTAL 
8,10.789,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,1.9,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,SERVICE EMPLOYEES
15,12.689,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",2.0 RESEARCH ,TOTAL 
16,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,0.0,0,2017,Year,"INSTITUTION: H23 (SOL PLAATJE UNIVERSITY, NORTHERN CAPE)",3.0 PUBLIC SERVICE,TOTAL 
