,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,103.0,0,2001,Year,Medical Uni. of South Africa,,WHITE,1.0 Professional Staff     -Sub-total
1,6.0,0,2001,Year,Medical Uni. of South Africa,,COLOURED,1.0 Professional Staff     -Sub-total
2,17.0,0,2001,Year,Medical Uni. of South Africa,,INDIAN,1.0 Professional Staff     -Sub-total
3,165.0,0,2001,Year,Medical Uni. of South Africa,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2001,Year,Medical Uni. of South Africa,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,291.0,0,2001,Year,Medical Uni. of South Africa,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,145.0,0,2001,Year,Medical Uni. of South Africa,MALE,,1.0 Professional Staff     -Sub-total
7,146.0,0,2001,Year,Medical Uni. of South Africa,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2001,Year,Medical Uni. of South Africa,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,59.0,0,2001,Year,Medical Uni. of South Africa,,WHITE,   1.1 Instruction/Research Professional
10,4.0,0,2001,Year,Medical Uni. of South Africa,,COLOURED,   1.1 Instruction/Research Professional
11,15.0,0,2001,Year,Medical Uni. of South Africa,,INDIAN,   1.1 Instruction/Research Professional
12,86.0,0,2001,Year,Medical Uni. of South Africa,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2001,Year,Medical Uni. of South Africa,,ALL OTHER,   1.1 Instruction/Research Professional
14,164.0,0,2001,Year,Medical Uni. of South Africa,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,81.0,0,2001,Year,Medical Uni. of South Africa,MALE,,   1.1 Instruction/Research Professional
16,83.0,0,2001,Year,Medical Uni. of South Africa,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2001,Year,Medical Uni. of South Africa,UNKNOWN,,   1.1 Instruction/Research Professional
18,8.0,0,2001,Year,Medical Uni. of South Africa,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2001,Year,Medical Uni. of South Africa,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
