,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,702.0,0,2001,Year,University of Natal,,WHITE,1.0 Professional Staff     -Sub-total
1,25.0,0,2001,Year,University of Natal,,COLOURED,1.0 Professional Staff     -Sub-total
2,223.0,0,2001,Year,University of Natal,,INDIAN,1.0 Professional Staff     -Sub-total
3,126.0,0,2001,Year,University of Natal,,AFRICAN,1.0 Professional Staff     -Sub-total
4,1.0,0,2001,Year,University of Natal,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1077.0,0,2001,Year,University of Natal,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,690.0,0,2001,Year,University of Natal,MALE,,1.0 Professional Staff     -Sub-total
7,387.0,0,2001,Year,University of Natal,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2001,Year,University of Natal,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,609.0,0,2001,Year,University of Natal,,WHITE,   1.1 Instruction/Research Professional
10,17.0,0,2001,Year,University of Natal,,COLOURED,   1.1 Instruction/Research Professional
11,184.0,0,2001,Year,University of Natal,,INDIAN,   1.1 Instruction/Research Professional
12,114.0,0,2001,Year,University of Natal,,AFRICAN,   1.1 Instruction/Research Professional
13,1.0,0,2001,Year,University of Natal,,ALL OTHER,   1.1 Instruction/Research Professional
14,925.0,0,2001,Year,University of Natal,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,609.0,0,2001,Year,University of Natal,MALE,,   1.1 Instruction/Research Professional
16,316.0,0,2001,Year,University of Natal,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2001,Year,University of Natal,UNKNOWN,,   1.1 Instruction/Research Professional
18,33.0,0,2001,Year,University of Natal,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2001,Year,University of Natal,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,8.0,0,2001,Year,University of Natal,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,4.0,0,2001,Year,University of Natal,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2001,Year,University of Natal,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,47.0,0,2001,Year,University of Natal,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,36.0,0,2001,Year,University of Natal,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,11.0,0,2001,Year,University of Natal,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2001,Year,University of Natal,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,60.0,0,2001,Year,University of Natal,,WHITE,   1.3 Specialist/Support Professionals
28,6.0,0,2001,Year,University of Natal,,COLOURED,   1.3 Specialist/Support Professionals
29,31.0,0,2001,Year,University of Natal,,INDIAN,   1.3 Specialist/Support Professionals
30,8.0,0,2001,Year,University of Natal,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2001,Year,University of Natal,,ALL OTHER,   1.3 Specialist/Support Professionals
