,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,122.0,0,2001,Year,University of the North,,WHITE,1.0 Professional Staff     -Sub-total
1,6.0,0,2001,Year,University of the North,,COLOURED,1.0 Professional Staff     -Sub-total
2,9.0,0,2001,Year,University of the North,,INDIAN,1.0 Professional Staff     -Sub-total
3,318.0,0,2001,Year,University of the North,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2001,Year,University of the North,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,455.0,0,2001,Year,University of the North,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,318.0,0,2001,Year,University of the North,MALE,,1.0 Professional Staff     -Sub-total
7,137.0,0,2001,Year,University of the North,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2001,Year,University of the North,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,114.0,0,2001,Year,University of the North,,WHITE,   1.1 Instruction/Research Professional
10,5.0,0,2001,Year,University of the North,,COLOURED,   1.1 Instruction/Research Professional
11,9.0,0,2001,Year,University of the North,,INDIAN,   1.1 Instruction/Research Professional
12,260.0,0,2001,Year,University of the North,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2001,Year,University of the North,,ALL OTHER,   1.1 Instruction/Research Professional
14,388.0,0,2001,Year,University of the North,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,276.0,0,2001,Year,University of the North,MALE,,   1.1 Instruction/Research Professional
16,112.0,0,2001,Year,University of the North,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2001,Year,University of the North,UNKNOWN,,   1.1 Instruction/Research Professional
18,6.0,0,2001,Year,University of the North,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2001,Year,University of the North,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2001,Year,University of the North,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,15.0,0,2001,Year,University of the North,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2001,Year,University of the North,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,21.0,0,2001,Year,University of the North,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,19.0,0,2001,Year,University of the North,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,2.0,0,2001,Year,University of the North,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2001,Year,University of the North,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,2.0,0,2001,Year,University of the North,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2001,Year,University of the North,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2001,Year,University of the North,,INDIAN,   1.3 Specialist/Support Professionals
30,43.0,0,2001,Year,University of the North,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2001,Year,University of the North,,ALL OTHER,   1.3 Specialist/Support Professionals
32,46.0,0,2001,Year,University of the North,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,23.0,0,2001,Year,University of the North,MALE,,   1.3 Specialist/Support Professionals
34,23.0,0,2001,Year,University of the North,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2001,Year,University of the North,UNKNOWN,,   1.3 Specialist/Support Professionals
