,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,416.0,0,2001,Year,Vista University,,WHITE,1.0 Professional Staff     -Sub-total
1,29.0,0,2001,Year,Vista University,,COLOURED,1.0 Professional Staff     -Sub-total
2,26.0,0,2001,Year,Vista University,,INDIAN,1.0 Professional Staff     -Sub-total
3,311.0,0,2001,Year,Vista University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2001,Year,Vista University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,782.0,0,2001,Year,Vista University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,404.0,0,2001,Year,Vista University,MALE,,1.0 Professional Staff     -Sub-total
7,378.0,0,2001,Year,Vista University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2001,Year,Vista University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,348.0,0,2001,Year,Vista University,,WHITE,   1.1 Instruction/Research Professional
10,16.0,0,2001,Year,Vista University,,COLOURED,   1.1 Instruction/Research Professional
11,22.0,0,2001,Year,Vista University,,INDIAN,   1.1 Instruction/Research Professional
12,236.0,0,2001,Year,Vista University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2001,Year,Vista University,,ALL OTHER,   1.1 Instruction/Research Professional
14,622.0,0,2001,Year,Vista University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,326.0,0,2001,Year,Vista University,MALE,,   1.1 Instruction/Research Professional
16,296.0,0,2001,Year,Vista University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2001,Year,Vista University,UNKNOWN,,   1.1 Instruction/Research Professional
18,16.0,0,2001,Year,Vista University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2001,Year,Vista University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2001,Year,Vista University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,21.0,0,2001,Year,Vista University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2001,Year,Vista University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,39.0,0,2001,Year,Vista University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,30.0,0,2001,Year,Vista University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,9.0,0,2001,Year,Vista University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2001,Year,Vista University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,52.0,0,2001,Year,Vista University,,WHITE,   1.3 Specialist/Support Professionals
28,11.0,0,2001,Year,Vista University,,COLOURED,   1.3 Specialist/Support Professionals
29,4.0,0,2001,Year,Vista University,,INDIAN,   1.3 Specialist/Support Professionals
30,54.0,0,2001,Year,Vista University,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2001,Year,Vista University,,ALL OTHER,   1.3 Specialist/Support Professionals
32,121.0,0,2001,Year,Vista University,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,48.0,0,2001,Year,Vista University,MALE,,   1.3 Specialist/Support Professionals
34,73.0,0,2001,Year,Vista University,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2001,Year,Vista University,UNKNOWN,,   1.3 Specialist/Support Professionals
36,148.0,0,2001,Year,Vista University,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,20.0,0,2001,Year,Vista University,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,3.0,0,2001,Year,Vista University,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,416.0,0,2001,Year,Vista University,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2001,Year,Vista University,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,587.0,0,2001,Year,Vista University,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,251.0,0,2001,Year,Vista University,MALE,,2.0 Non-Professional Staff    -Sub-total
