,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,49.0,0,2002,Year,M.L. Sultan Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,6.0,0,2002,Year,M.L. Sultan Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,228.0,0,2002,Year,M.L. Sultan Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,67.0,0,2002,Year,M.L. Sultan Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,2.0,0,2002,Year,M.L. Sultan Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,352.0,0,2002,Year,M.L. Sultan Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,219.0,0,2002,Year,M.L. Sultan Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,133.0,0,2002,Year,M.L. Sultan Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,M.L. Sultan Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,38.0,0,2002,Year,M.L. Sultan Technikon,,WHITE,   1.1 Instruction/Research Professional
10,5.0,0,2002,Year,M.L. Sultan Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,179.0,0,2002,Year,M.L. Sultan Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,51.0,0,2002,Year,M.L. Sultan Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,2.0,0,2002,Year,M.L. Sultan Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,275.0,0,2002,Year,M.L. Sultan Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,168.0,0,2002,Year,M.L. Sultan Technikon,MALE,,   1.1 Instruction/Research Professional
16,107.0,0,2002,Year,M.L. Sultan Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,M.L. Sultan Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,8.0,0,2002,Year,M.L. Sultan Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2002,Year,M.L. Sultan Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,15.0,0,2002,Year,M.L. Sultan Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,6.0,0,2002,Year,M.L. Sultan Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
