,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,280.0,0,2002,Year,Natal Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,6.0,0,2002,Year,Natal Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,64.0,0,2002,Year,Natal Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,60.0,0,2002,Year,Natal Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Natal Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,410.0,0,2002,Year,Natal Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,238.0,0,2002,Year,Natal Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,172.0,0,2002,Year,Natal Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Natal Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,253.0,0,2002,Year,Natal Technikon,,WHITE,   1.1 Instruction/Research Professional
10,4.0,0,2002,Year,Natal Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,54.0,0,2002,Year,Natal Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,33.0,0,2002,Year,Natal Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Natal Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,344.0,0,2002,Year,Natal Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,203.0,0,2002,Year,Natal Technikon,MALE,,   1.1 Instruction/Research Professional
16,141.0,0,2002,Year,Natal Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Natal Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,17.0,0,2002,Year,Natal Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2002,Year,Natal Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,3.0,0,2002,Year,Natal Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,9.0,0,2002,Year,Natal Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Natal Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,31.0,0,2002,Year,Natal Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,24.0,0,2002,Year,Natal Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,7.0,0,2002,Year,Natal Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Natal Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,10.0,0,2002,Year,Natal Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2002,Year,Natal Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,7.0,0,2002,Year,Natal Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,18.0,0,2002,Year,Natal Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Natal Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
