,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,95.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,5.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,12.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,146.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,258.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,163.0,0,2002,Year,Northern Gauteng Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,95.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,90.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   1.1 Instruction/Research Professional
10,3.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,11.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,127.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,231.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,144.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   1.1 Instruction/Research Professional
16,87.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,3.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,6.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,10.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,9.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,1.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,2.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,1.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,13.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,17.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,10.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   1.3 Specialist/Support Professionals
34,7.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,37.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,1.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,2.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,393.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,433.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,199.0,0,2002,Year,Northern Gauteng Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,234.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,1.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   2.1 Technical Employees
46,0.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   2.1 Technical Employees
47,0.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   2.1 Technical Employees
48,8.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   2.1 Technical Employees
50,9.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   2.1 Technical Employees
51,7.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   2.1 Technical Employees
52,2.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   2.1 Technical Employees
54,34.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   2.2 Non-professional Administrative Employees
55,1.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   2.2 Non-professional Administrative Employees
56,2.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   2.2 Non-professional Administrative Employees
57,188.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,225.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,110.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   2.2 Non-professional Administrative Employees
61,115.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,2.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   2.3 Crafts/Trades Employees
66,8.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   2.3 Crafts/Trades Employees
68,10.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,10.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   2.3 Crafts/Trades Employees
72,0.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,   2.4 Service\Employees
73,0.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,   2.4 Service\Employees
74,0.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,   2.4 Service\Employees
75,189.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,   2.4 Service\Employees
77,189.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,   2.4 Service\Employees
78,72.0,0,2002,Year,Northern Gauteng Technikon,MALE,,   2.4 Service\Employees
79,117.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,   2.4 Service\Employees
80,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,3.0 Unknown
82,0.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,3.0 Unknown
83,0.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,3.0 Unknown
84,0.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,3.0 Unknown
85,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,3.0 Unknown
86,0.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2002,Year,Northern Gauteng Technikon,MALE,,3.0 Unknown
88,0.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,3.0 Unknown
89,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,3.0 Unknown
90,132.0,0,2002,Year,Northern Gauteng Technikon,,WHITE,9.9 TOTAL
91,6.0,0,2002,Year,Northern Gauteng Technikon,,COLOURED,9.9 TOTAL
92,14.0,0,2002,Year,Northern Gauteng Technikon,,INDIAN,9.9 TOTAL
93,539.0,0,2002,Year,Northern Gauteng Technikon,,AFRICAN,9.9 TOTAL
94,0.0,0,2002,Year,Northern Gauteng Technikon,,ALL OTHER,9.9 TOTAL
95,691.0,0,2002,Year,Northern Gauteng Technikon,TOTAL,TOTAL,9.9 TOTAL
96,362.0,0,2002,Year,Northern Gauteng Technikon,MALE,,9.9 TOTAL
97,329.0,0,2002,Year,Northern Gauteng Technikon,FEMALE,,9.9 TOTAL
98,0.0,0,2002,Year,Northern Gauteng Technikon,UNKNOWN,,9.9 TOTAL
