,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,61.0,0,2002,Year,Peninsula Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,178.0,0,2002,Year,Peninsula Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,5.0,0,2002,Year,Peninsula Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,18.0,0,2002,Year,Peninsula Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,4.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,266.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,180.0,0,2002,Year,Peninsula Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,86.0,0,2002,Year,Peninsula Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,55.0,0,2002,Year,Peninsula Technikon,,WHITE,   1.1 Instruction/Research Professional
10,127.0,0,2002,Year,Peninsula Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,4.0,0,2002,Year,Peninsula Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,13.0,0,2002,Year,Peninsula Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,4.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,203.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,129.0,0,2002,Year,Peninsula Technikon,MALE,,   1.1 Instruction/Research Professional
16,74.0,0,2002,Year,Peninsula Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,5.0,0,2002,Year,Peninsula Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,36.0,0,2002,Year,Peninsula Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2002,Year,Peninsula Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,3.0,0,2002,Year,Peninsula Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,45.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,41.0,0,2002,Year,Peninsula Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,4.0,0,2002,Year,Peninsula Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,1.0,0,2002,Year,Peninsula Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,15.0,0,2002,Year,Peninsula Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2002,Year,Peninsula Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,2.0,0,2002,Year,Peninsula Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,18.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,10.0,0,2002,Year,Peninsula Technikon,MALE,,   1.3 Specialist/Support Professionals
34,8.0,0,2002,Year,Peninsula Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,9.0,0,2002,Year,Peninsula Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,298.0,0,2002,Year,Peninsula Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,1.0,0,2002,Year,Peninsula Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,45.0,0,2002,Year,Peninsula Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,353.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,191.0,0,2002,Year,Peninsula Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,162.0,0,2002,Year,Peninsula Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,4.0,0,2002,Year,Peninsula Technikon,,WHITE,   2.1 Technical Employees
46,37.0,0,2002,Year,Peninsula Technikon,,COLOURED,   2.1 Technical Employees
47,0.0,0,2002,Year,Peninsula Technikon,,INDIAN,   2.1 Technical Employees
48,6.0,0,2002,Year,Peninsula Technikon,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,Peninsula Technikon,,ALL OTHER,   2.1 Technical Employees
50,47.0,0,2002,Year,Peninsula Technikon,TOTAL,TOTAL,   2.1 Technical Employees
51,37.0,0,2002,Year,Peninsula Technikon,MALE,,   2.1 Technical Employees
52,10.0,0,2002,Year,Peninsula Technikon,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,Peninsula Technikon,UNKNOWN,,   2.1 Technical Employees
54,5.0,0,2002,Year,Peninsula Technikon,,WHITE,   2.2 Non-professional Administrative Employees
55,190.0,0,2002,Year,Peninsula Technikon,,COLOURED,   2.2 Non-professional Administrative Employees
56,1.0,0,2002,Year,Peninsula Technikon,,INDIAN,   2.2 Non-professional Administrative Employees
57,31.0,0,2002,Year,Peninsula Technikon,,AFRICAN,   2.2 Non-professional Administrative Employees
