,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,284.0,0,2002,Year,Port Elizabeth Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,24.0,0,2002,Year,Port Elizabeth Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,6.0,0,2002,Year,Port Elizabeth Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,24.0,0,2002,Year,Port Elizabeth Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Port Elizabeth Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,338.0,0,2002,Year,Port Elizabeth Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,214.0,0,2002,Year,Port Elizabeth Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,124.0,0,2002,Year,Port Elizabeth Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Port Elizabeth Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,219.0,0,2002,Year,Port Elizabeth Technikon,,WHITE,   1.1 Instruction/Research Professional
10,17.0,0,2002,Year,Port Elizabeth Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,6.0,0,2002,Year,Port Elizabeth Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,16.0,0,2002,Year,Port Elizabeth Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Port Elizabeth Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,258.0,0,2002,Year,Port Elizabeth Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,158.0,0,2002,Year,Port Elizabeth Technikon,MALE,,   1.1 Instruction/Research Professional
16,100.0,0,2002,Year,Port Elizabeth Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Port Elizabeth Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
