,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,660.0,0,2002,Year,Potchefstroom University,,WHITE,1.0 Professional Staff     -Sub-total
1,10.0,0,2002,Year,Potchefstroom University,,COLOURED,1.0 Professional Staff     -Sub-total
2,0.0,0,2002,Year,Potchefstroom University,,INDIAN,1.0 Professional Staff     -Sub-total
3,40.0,0,2002,Year,Potchefstroom University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,710.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,442.0,0,2002,Year,Potchefstroom University,MALE,,1.0 Professional Staff     -Sub-total
7,268.0,0,2002,Year,Potchefstroom University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,494.0,0,2002,Year,Potchefstroom University,,WHITE,   1.1 Instruction/Research Professional
10,6.0,0,2002,Year,Potchefstroom University,,COLOURED,   1.1 Instruction/Research Professional
11,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   1.1 Instruction/Research Professional
12,32.0,0,2002,Year,Potchefstroom University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   1.1 Instruction/Research Professional
14,532.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,338.0,0,2002,Year,Potchefstroom University,MALE,,   1.1 Instruction/Research Professional
16,194.0,0,2002,Year,Potchefstroom University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   1.1 Instruction/Research Professional
18,59.0,0,2002,Year,Potchefstroom University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2002,Year,Potchefstroom University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,1.0,0,2002,Year,Potchefstroom University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,60.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,55.0,0,2002,Year,Potchefstroom University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,5.0,0,2002,Year,Potchefstroom University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,107.0,0,2002,Year,Potchefstroom University,,WHITE,   1.3 Specialist/Support Professionals
28,4.0,0,2002,Year,Potchefstroom University,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   1.3 Specialist/Support Professionals
30,7.0,0,2002,Year,Potchefstroom University,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   1.3 Specialist/Support Professionals
32,118.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,49.0,0,2002,Year,Potchefstroom University,MALE,,   1.3 Specialist/Support Professionals
34,69.0,0,2002,Year,Potchefstroom University,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   1.3 Specialist/Support Professionals
36,497.0,0,2002,Year,Potchefstroom University,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,20.0,0,2002,Year,Potchefstroom University,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,2.0,0,2002,Year,Potchefstroom University,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,304.0,0,2002,Year,Potchefstroom University,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,823.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,272.0,0,2002,Year,Potchefstroom University,MALE,,2.0 Non-Professional Staff    -Sub-total
43,551.0,0,2002,Year,Potchefstroom University,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,101.0,0,2002,Year,Potchefstroom University,,WHITE,   2.1 Technical Employees
46,0.0,0,2002,Year,Potchefstroom University,,COLOURED,   2.1 Technical Employees
47,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   2.1 Technical Employees
48,5.0,0,2002,Year,Potchefstroom University,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   2.1 Technical Employees
50,106.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   2.1 Technical Employees
51,58.0,0,2002,Year,Potchefstroom University,MALE,,   2.1 Technical Employees
52,48.0,0,2002,Year,Potchefstroom University,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   2.1 Technical Employees
54,356.0,0,2002,Year,Potchefstroom University,,WHITE,   2.2 Non-professional Administrative Employees
55,10.0,0,2002,Year,Potchefstroom University,,COLOURED,   2.2 Non-professional Administrative Employees
56,2.0,0,2002,Year,Potchefstroom University,,INDIAN,   2.2 Non-professional Administrative Employees
57,37.0,0,2002,Year,Potchefstroom University,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,405.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,55.0,0,2002,Year,Potchefstroom University,MALE,,   2.2 Non-professional Administrative Employees
61,350.0,0,2002,Year,Potchefstroom University,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,19.0,0,2002,Year,Potchefstroom University,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2002,Year,Potchefstroom University,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   2.3 Crafts/Trades Employees
66,0.0,0,2002,Year,Potchefstroom University,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   2.3 Crafts/Trades Employees
68,19.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,19.0,0,2002,Year,Potchefstroom University,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2002,Year,Potchefstroom University,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   2.3 Crafts/Trades Employees
72,21.0,0,2002,Year,Potchefstroom University,,WHITE,   2.4 Service\Employees
73,10.0,0,2002,Year,Potchefstroom University,,COLOURED,   2.4 Service\Employees
74,0.0,0,2002,Year,Potchefstroom University,,INDIAN,   2.4 Service\Employees
75,262.0,0,2002,Year,Potchefstroom University,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,   2.4 Service\Employees
77,293.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,   2.4 Service\Employees
78,140.0,0,2002,Year,Potchefstroom University,MALE,,   2.4 Service\Employees
79,153.0,0,2002,Year,Potchefstroom University,FEMALE,,   2.4 Service\Employees
80,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2002,Year,Potchefstroom University,,WHITE,3.0 Unknown
82,0.0,0,2002,Year,Potchefstroom University,,COLOURED,3.0 Unknown
83,0.0,0,2002,Year,Potchefstroom University,,INDIAN,3.0 Unknown
84,0.0,0,2002,Year,Potchefstroom University,,AFRICAN,3.0 Unknown
85,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,3.0 Unknown
86,0.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2002,Year,Potchefstroom University,MALE,,3.0 Unknown
88,0.0,0,2002,Year,Potchefstroom University,FEMALE,,3.0 Unknown
89,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,3.0 Unknown
90,1157.0,0,2002,Year,Potchefstroom University,,WHITE,9.9 TOTAL
91,30.0,0,2002,Year,Potchefstroom University,,COLOURED,9.9 TOTAL
92,2.0,0,2002,Year,Potchefstroom University,,INDIAN,9.9 TOTAL
93,344.0,0,2002,Year,Potchefstroom University,,AFRICAN,9.9 TOTAL
94,0.0,0,2002,Year,Potchefstroom University,,ALL OTHER,9.9 TOTAL
95,1533.0,0,2002,Year,Potchefstroom University,TOTAL,TOTAL,9.9 TOTAL
96,714.0,0,2002,Year,Potchefstroom University,MALE,,9.9 TOTAL
97,819.0,0,2002,Year,Potchefstroom University,FEMALE,,9.9 TOTAL
98,0.0,0,2002,Year,Potchefstroom University,UNKNOWN,,9.9 TOTAL
